uf,cd_municipio_tse,ds_cargo,sg_partido,nm_candidato,nm_urna_candidato,nr_candidato,e,st,vap,pvap,nm_ue,sq_candidato,nr_partido,nm_coligacao,ds_composicao_coligacao,ds_genero,ds_grau_instrucao,ds_estado_civil,ds_cor_raca,ds_ocupacao,vr_despesa_max_campanha,st_reeleicao,muni_id,muni_nm_clean,muni_nm
PA,04049,VEREADOR,CIDADANIA,DORIVAN TARRACANA KARAJÁ,DORIVAN KARAJÁ,23222,s,Eleito por QP,545,"5,14",BOM JESUS DO TOCANTINS,140002244050,23,FEDERAÇÃO,Federação PSDB CIDADANIA(PSDB/CIDADANIA),MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),INDÍGENA,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,NA,NA,1501576,BOM JESUS DO TOCANTINS,NA
PA,04200,VEREADOR,PSDB,SANDRO WARO MUNDURUKU,SANDRO WARO,45222,s,Eleito por média,418,"3,74",JACAREACANGA,140001981563,45,FEDERAÇÃO,Federação PSDB CIDADANIA(PSDB/CIDADANIA),MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,1503754,JACAREACANGA,NA
PA,04200,VEREADOR,MDB,ZENILDO SAW MUNDURUKU,ZENILDO SAW,15112,s,Eleito por média,248,"2,22",JACAREACANGA,140001981426,15,PARTIDO ISOLADO,MDB,MASCULINO,SUPERIOR COMPLETO,CASADO(A),INDÍGENA,PEDAGOGO,NA,NA,1503754,JACAREACANGA,NA
PA,04200,VEREADOR,UNIÃO,TOMAZ WARO MUNDURUKU,TOMAZ WARO,44000,s,Eleito por QP,369,"3,31",JACAREACANGA,140002105532,44,PARTIDO ISOLADO,UNIÃO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,PROFESSOR DE ENSINO FUNDAMENTAL,NA,NA,1503754,JACAREACANGA,NA
PA,04200,VEREADOR,UNIÃO,ALDILO AMÂNCIO CAETANO KABA MUNDURUKU,ALDILO KABÁ,44352,s,Eleito por média,342,"3,06",JACAREACANGA,140002105523,44,PARTIDO ISOLADO,UNIÃO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,ANTROPÓLOGO,NA,NA,1503754,JACAREACANGA,NA
PA,04200,VEREADOR,REDE,ELIZIARIO KIRIXI MUNDURUKU,ELIZIARIO KIRIXI,18119,s,Eleito por média,386,"3,46",JACAREACANGA,140001981830,18,FEDERAÇÃO,Federação PSOL REDE(PSOL/REDE),MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,1503754,JACAREACANGA,NA
PA,04839,VEREADOR,MDB,UBIRAJARA NAZARENO SOMPRE,UBIRAJARA  SOMPRE,15140,s,Eleito por QP,2524,"1,83",MARABÁ,140001985688,15,PARTIDO ISOLADO,MDB,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),INDÍGENA,ENGENHEIRO,NA,NA,1504208,MARABA,NA
RO,00310,VEREADOR,UNIÃO,DALTON AUGUSTO TUPARI FIRMINO,DALTON TUPARI,44114,s,Eleito por QP,365,"2,70",ALTA FLORESTA D'OESTE,220002198570,44,PARTIDO ISOLADO,UNIÃO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,1100015,ALTA FLORESTA DOESTE,NA
RR,03042,VEREADOR,REPUBLICANOS,IVONILDO SILVA DE SOUZA,CHINA DO AMAJARÍ,10369,s,Eleito por QP,279,"4,31",AMAJARI,230002128765,10,PARTIDO ISOLADO,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),INDÍGENA,OUTROS,NA,NA,1400027,AMAJARI,NA
RR,03077,VEREADOR,PP,ZACARIAS EDVINO DOUGLAS,ZACARIAS DOUGLAS,11011,s,Eleito por QP,628,"6,06",BONFIM,230001945048,11,PARTIDO ISOLADO,PP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),INDÍGENA,VEREADOR,NA,NA,1400159,BONFIM,NA
RR,03123,VEREADOR,PSD,LUIZ ALVINO DE SOUSA NETO,PROF LUIZINHO,55555,s,Eleito por média,286,"3,69",PACARAIMA,230002129056,55,PARTIDO ISOLADO,PSD,MASCULINO,SUPERIOR COMPLETO,CASADO(A),INDÍGENA,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,NA,NA,1400456,PACARAIMA,NA
RR,03107,VEREADOR,PV,GILBERTO PAULO CORDEIRO,GILBERTO DO MORRO,43123,s,Eleito por média,304,"4,24",UIRAMUTÃ,230002127850,43,FEDERAÇÃO,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,AGRICULTOR,NA,NA,1400704,UIRAMUTA,NA
RR,03107,VEREADOR,PP,GRACE BELLE BRASIL DIAS,GREYCE BRASIL,11111,s,Eleito por média,227,"3,17",UIRAMUTÃ,230002234751,11,PARTIDO ISOLADO,PP,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,NA,NA,1400704,UIRAMUTA,NA
RR,03107,VEREADOR,PDT,ROMULO DA SILVA LIMA,ROMULO LIMA,12123,s,Eleito por QP,222,"3,10",UIRAMUTÃ,230002129700,12,PARTIDO ISOLADO,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,SERVIDOR PÚBLICO ESTADUAL,NA,NA,1400704,UIRAMUTA,NA
TO,93653,VEREADOR,REPUBLICANOS,MICAEL WEHERIA VINICIUS BATISTA JAVAÉ,CACIQUE MICAEL JAVÁE,10100,s,Eleito por QP,417,"3,70",FORMOSO DO ARAGUAIA,270002258818,10,PARTIDO ISOLADO,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),INDÍGENA,OUTROS,NA,NA,1708205,FORMOSO DO ARAGUAIA,NA
TO,94056,VEREADOR,PDT,RENATO YAHÉ KRAHÔ,RENATO YAHÉ KRAHÔ,12345,s,Eleito por QP,274,"6,08",ITACAJÁ,270002165070,12,PARTIDO ISOLADO,PDT,MASCULINO,SUPERIOR COMPLETO,CASADO(A),INDÍGENA,PROFESSOR DE ENSINO MÉDIO,NA,NA,1710508,ITACAJA,NA
TO,73059,VEREADOR,PDT,ERCILIO ROCHA DIAS APINAGÉ,ERCILIO APINAGÉ,12345,s,Eleito por QP,114,"3,45",MAURILÂNDIA DO TOCANTINS,270001974225,12,PARTIDO ISOLADO,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,TRABALHADOR RURAL,NA,NA,1712801,MAURILANDIA DO TOCANTINS,NA
TO,73156,VEREADOR,UNIÃO,VALDEMIR FILHO TEXIBA JAVAÉ,VALDEMIR JAVAÉ,44111,s,Eleito por QP,201,"6,28",SANDOLÂNDIA,270002076845,44,PARTIDO ISOLADO,UNIÃO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,VEREADOR,NA,NA,1718840,SANDOLANDIA,NA
TO,96199,VEREADOR,PDT,ELSO KRENSU XERENTE,ELSO KRENSU,12777,s,Eleito por QP,225,"4,65",TOCANTÍNIA,270002313104,12,PARTIDO ISOLADO,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,1721109,TOCANTINIA,NA
TO,96199,VEREADOR,PDT,LEOMAR WAINNE XERENTE,LEOMAR XERENTE,12555,s,Eleito por média,219,"4,53",TOCANTÍNIA,270002313102,12,PARTIDO ISOLADO,PDT,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,1721109,TOCANTINIA,NA
AC,NA,NA,PP,CLEIBER PINHEIRO SALES,CLÉBER KAXINAWÁ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MASCULINO,NA,NA,NA,NA,NA,NA,NA,NA,Jordão
AC,NA,NA,MDB,VALDIR GENEZIO KAXINAWA,VALDIR KAXINAWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MASCULINO,NA,NA,NA,NA,NA,NA,NA,NA,Santa Rosa Do Purus
AM,NA,NA,MDB,ALBERTO GOMES XAVIER,DEGÁ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MASCULINO,NA,NA,NA,NA,NA,NA,NA,NA,Santo Antônio Do Içá
AM,NA,NA,UNIÃO,MADALENA DA SILVA CARDOSO,PROF MADALENA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEMININO,NA,NA,NA,NA,NA,NA,NA,NA,Japurá
AM,NA,NA,PT,ELIANE FARIAS FALCÃO,PROFESSORA ELIANE FALCÃO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEMININO,NA,NA,NA,NA,NA,NA,NA,NA,São Gabriel Da Cachoeira
AM,NA,NA,MDB,RODENEY RABELO TORRES,RODNEY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MASCULINO,NA,NA,NA,NA,NA,NA,NA,NA,Amaturá
PA,NA,NA,MDB,VALMAR KABA MUNDURUKU,VALMAR KABA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MASCULINO,NA,NA,NA,NA,NA,NA,NA,NA,Jacareacanga
RR,NA,NA,REDE,JEREMIAS SOUZA LIMA,PROFESSOR JEREMIAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MASCULINO,NA,NA,NA,NA,NA,NA,NA,NA,Uiramutã
