codigo_ibge,municipio,uf,data,ano_evento,descricao_tipologia,grupo_de_desastre,status,dh_mortos,dh_feridos,dh_enfermos,dh_desabrigados,dh_desalojados,dh_total_danos_humanos,dh_outros_afetados,cobrade,populacao,dh_desaparecidos
1303106,Nova Olinda do Norte,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1303304,Novo Aripuanã,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1304062,Tabatinga,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1304401,Urucurituba,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2103703,Cururupu,MA,1993-05-03T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300086,Anamã,AM,1993-05-07T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300102,Anori,AM,1993-05-07T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300805,Borba,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300839,Caapiranga,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300904,Canutama,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301001,Carauari,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301100,Careiro,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301308,Codajás,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301605,Fonte Boa,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301704,Humaitá,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301852,Iranduba,AM,1993-05-07T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301951,Itamarati,AM,1993-05-07T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1302504,Manacapuru,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1302553,Manaquiri,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1303700,Santo Antônio do Içá,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1303957,São Sebastião do Uatumã,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1304005,Silves,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1304203,Tefé,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2101905,Bequimão,MA,1993-05-11T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2103505,Colinas,MA,1993-05-14T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300508,Barreirinha,AM,1993-05-17T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300631,Beruri,AM,1993-05-17T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1302009,Itapiranga,AM,1993-05-17T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1302108,Japurá,AM,1993-05-17T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1303403,Parintins,AM,1993-05-17T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300029,Alvarães,AM,1993-05-18T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301902,Itacoatiara,AM,1993-05-18T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1302801,Maraã,AM,1993-05-18T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2103307,Codó,MA,1993-05-19T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300300,Autazes,AM,1993-05-21T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1304260,Uarini,AM,1993-05-21T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300680,Boa Vista do Ramos,AM,1993-05-28T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1302207,Juruá,AM,1993-05-28T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1500404,Alenquer,PA,1993-05-31T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1302306,Jutaí,AM,1993-06-04T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1303502,Pauini,AM,1993-06-04T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301159,Careiro da Várzea,AM,1993-06-11T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301100,Careiro,AM,1994-01-12T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1200609,Tarauacá,AC,1994-01-17T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5107859,São Félix do Araguaia,MT,1994-01-25T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,80,0,80,0,NA,NA,NA
1504208,Marabá,PA,1994-03-15T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,4500,0,4500,0,NA,NA,NA
1200401,Rio Branco,AC,1994-04-14T00:00:00Z,1994,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1500503,Almeirim,PA,1994-04-18T00:00:00Z,1994,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1503002,Faro,PA,1994-04-18T00:00:00Z,1994,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1303007,Nhamundá,AM,1994-05-04T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300607,Benjamin Constant,AM,1994-05-13T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1303304,Novo Aripuanã,AM,1994-05-13T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300201,Atalaia do Norte,AM,1994-05-19T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301100,Careiro,AM,1994-05-23T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301159,Careiro da Várzea,AM,1994-05-23T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301852,Iranduba,AM,1994-05-23T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1304062,Tabatinga,AM,1994-05-23T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1304203,Tefé,AM,1994-05-23T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5100250,Alta Floresta,MT,1994-05-23T00:00:00Z,1994,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5106158,Nova Bandeirantes,MT,1994-05-23T00:00:00Z,1994,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1303908,São Paulo de Olivença,AM,1994-05-31T00:00:00Z,1994,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300839,Caapiranga,AM,1994-06-06T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1100106,Guajará-Mirim,RO,1994-11-30T00:00:00Z,1994,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5100805,Apiacás,MT,1994-12-21T00:00:00Z,1994,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5106299,Paranaíta,MT,1994-12-21T00:00:00Z,1994,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5107800,Santo Antônio do Leverger,MT,1995-01-08T00:00:00Z,1995,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5101605,Barão de Melgaço,MT,1995-01-08T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,2800,0,3500,700,NA,NA,NA
5101605,Barão de Melgaço,MT,1995-02-07T00:00:00Z,1995,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5103403,Cuiabá,MT,1995-02-07T00:00:00Z,1995,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5108402,Várzea Grande,MT,1995-02-07T00:00:00Z,1995,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1200203,Cruzeiro do Sul,AC,1995-03-16T00:00:00Z,1995,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1200435,Santa Rosa do Purus,AC,1995-03-16T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1200609,Tarauacá,AC,1995-03-17T00:00:00Z,1995,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1200302,Feijó,AC,1995-03-20T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
