issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2023-12-20,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,1112,The Russas Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,188983,46751,16096-739328795-739375545-VCS-VCU-352-VER-BR-14-1112-01012018-31122018-1,NA,CCB-Community Gold,FALSE,NA,,,,NA,229594,1112
2023-12-20,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,1112,The Russas Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,188983,47702,16096-739375546-739423247-VCS-VCU-352-VER-BR-14-1112-01012018-31122018-1,NA,CCB-Community Gold,FALSE,NA,,,,NA,279969,1112
2023-12-20,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,1112,The Russas Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,188983,39,16096-739423248-739423286-VCS-VCU-352-VER-BR-14-1112-01012018-31122018-1,NA,CCB-Community Gold,FALSE,NA,,,,NA,280172,1112
2023-12-20,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,1112,The Russas Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,188983,204,16097-739423287-739423490-VCS-VCU-352-VER-BR-14-1112-01012019-31122019-1,NA,CCB-Community Gold,TRUE,2024-04-15,Agria Pet Insurance,Retirement for Person or Organization,Retired by Eco Offset on behalf of Agria Pet Insurance,NA,229595,1112
2023-12-20,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,1112,The Russas Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,188983,104,16097-739473287-739473390-VCS-VCU-352-VER-BR-14-1112-01012019-31122019-1,NA,CCB-Community Gold,TRUE,2025-03-14,GH Italia SPA,Retirement for Person or Organization,carbon offsetting GH ITALIA SpA  come da quantificazione ISO 14068 anno 2024,NA,229611,1112
2023-12-20,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,1112,The Russas Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,188983,25000,16097-739448287-739473286-VCS-VCU-352-VER-BR-14-1112-01012019-31122019-1,NA,CCB-Community Gold,FALSE,NA,,,,NA,240701,1112
2023-12-20,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,1112,The Russas Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,188983,100,16097-739423491-739423590-VCS-VCU-352-VER-BR-14-1112-01012019-31122019-1,NA,CCB-Community Gold,TRUE,2024-05-23,Forevergreen Earth INC,Retirement for Person or Organization,On behalf of Forevergreen Earth INC,NA,242549,1112
2023-12-20,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,1112,The Russas Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,188983,100,16097-739423641-739423740-VCS-VCU-352-VER-BR-14-1112-01012019-31122019-1,NA,CCB-Community Gold,FALSE,NA,,,,NA,246948,1112
2023-12-20,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,1112,The Russas Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,188983,50,16097-739423591-739423640-VCS-VCU-352-VER-BR-14-1112-01012019-31122019-1,NA,CCB-Community Gold,FALSE,NA,,,,NA,246951,1112
2023-12-20,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,1112,The Russas Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,188983,42342,16097-739475437-739517778-VCS-VCU-352-VER-BR-14-1112-01012019-31122019-1,NA,CCB-Community Gold,FALSE,NA,,,,NA,282574,1112
