issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2023-03-07,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,47707,14826-628761598-628809304-VCS-VCU-352-VER-BR-14-1382-01012019-31122019-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-09-18,,,,NA,196592,1382
2023-03-07,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,1,14827-628809305-628809305-VCS-VCU-352-VER-BR-14-1382-01012020-31122020-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,FALSE,NA,,,,NA,196593,1382
2023-03-07,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,43551,14827-628813461-628857011-VCS-VCU-352-VER-BR-14-1382-01012020-31122020-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-09-18,,,,NA,196845,1382
2023-03-07,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,1850,14827-628811305-628813154-VCS-VCU-352-VER-BR-14-1382-01012020-31122020-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-12-15,Compensação das emissões do Edifício Vista Faria Lima (novembro 22 até outubro/23) – Considerando (queima de combustível fóssil e transporte dos ocupantes),Retirement for Person or Organization,Centro de Tecnologia de Edificações,NA,210665,1382
2023-03-07,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,128,14827-628813331-628813458-VCS-VCU-352-VER-BR-14-1382-01012020-31122020-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2024-12-18,SOCIEDADE BRASILEIRA DE NEFROLOGIA,Retirement for Person or Organization,"Neutralização de emissões de gases de efeito estufa associadas ao XXXII Congresso Brasileiro de Nefrologia, ocorrido de 25 a 28 de setembro de 2024, no Centro de Convenções de Salvador, localizado na Av. Octávio Mangabeira, 5.490 - Boca do Rio, Salvador, Bahia.",NA,214282,1382
2023-03-07,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,1,14827-628813155-628813155-VCS-VCU-352-VER-BR-14-1382-01012020-31122020-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2025-05-21,The Austral Group: ESSEC Business School MBA February 2025 London,Retirement for Person or Organization,ESSEC Business School MBA February 2025 London,NA,228825,1382
2023-03-07,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,300,14827-628809306-628809605-VCS-VCU-352-VER-BR-14-1382-01012020-31122020-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,FALSE,NA,,,,NA,247261,1382
2023-03-07,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,1500,14827-628809606-628811105-VCS-VCU-352-VER-BR-14-1382-01012020-31122020-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2024-08-08,BH Airport - Concessionária do Aeroporto Internacional de Belo Horizonte,Retirement for Person or Organization,Neutralidade das emissões diretas do BH airport referente ao ano de 2023.,NA,251488,1382
2023-03-07,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,199,14827-628811106-628811304-VCS-VCU-352-VER-BR-14-1382-01012020-31122020-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,FALSE,NA,,,,NA,255304,1382
2023-03-07,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,2,14827-628813459-628813460-VCS-VCU-352-VER-BR-14-1382-01012020-31122020-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2024-12-18,Novo Nordisk Farmacêutica do Brasil Ltda.,Retirement for Person or Organization,Neutralização do evento Latam Cardiometabolic Connection 2024.,NA,276661,1382
2023-03-07,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,175,14827-628813156-628813330-VCS-VCU-352-VER-BR-14-1382-01012020-31122020-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,FALSE,NA,,,,NA,293971,1382
2023-03-07,NA,VCU,2021-01-01,2021-12-31,2021-01-01,2021-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318047,47707,14828-628857012-628904718-VCS-VCU-352-VER-BR-14-1382-01012021-31122021-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-09-18,,,,NA,196594,1382
2023-01-11,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,9541,14466-596954030-596963570-VCS-VCU-352-VER-BR-14-1382-01012019-31122019-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,FALSE,NA,,,,NA,190878,1382
2023-01-11,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,318046,276,14466-596963571-596963846-VCS-VCU-352-VER-BR-14-1382-01012019-31122019-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-06-13,On behalf of Patch's customers and/ or their End Users,Retirement for Person or Organization,On behalf of Patch's customers and/ or their End Users,NA,205830,1382
