issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2022-12-21,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,963,The Purus Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,77342,21573,14294-570332488-570354060-VCS-VCU-263-VER-BR-14-963-01012018-31122018-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-03-15,,,,NA,188790,963
2022-12-21,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,963,The Purus Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,77342,4289,14294-570354061-570358349-VCS-VCU-263-VER-BR-14-963-01012018-31122018-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-03-15,,,,NA,197106,963
2022-12-21,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,963,The Purus Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,77342,216,14294-570358350-570358565-VCS-VCU-263-VER-BR-14-963-01012018-31122018-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-03-17,,,,NA,197120,963
2022-12-21,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,963,The Purus Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,77342,23427,14294-570358566-570381992-VCS-VCU-263-VER-BR-14-963-01012018-31122018-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-03-17,PwC,Retirement for Person or Organization,PwC FY21 Carbon Offset Purchase,NA,197297,963
2022-12-21,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,963,The Purus Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,77342,1250,14294-570381993-570383242-VCS-VCU-263-VER-BR-14-963-01012018-31122018-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-03-17,,,,NA,197311,963
2022-12-21,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,963,The Purus Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,77342,1076,14294-570383243-570384318-VCS-VCU-263-VER-BR-14-963-01012018-31122018-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-03-17,,,,NA,197312,963
2022-12-21,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,963,The Purus Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,77342,13169,14294-570384319-570397487-VCS-VCU-263-VER-BR-14-963-01012018-31122018-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-04-27,,,,NA,197319,963
2022-12-21,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,963,The Purus Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,77342,11,14294-570397488-570397498-VCS-VCU-263-VER-BR-14-963-01012018-31122018-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-06-09,Bentley Lima,Retirement for Person or Organization,Retired on behalf of Bentley Lima  as part of their PAS2060 certification.,NA,202751,963
2022-12-21,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,963,The Purus Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,77342,67,14294-570397499-570397565-VCS-VCU-263-VER-BR-14-963-01012018-31122018-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-06-09,Bentley Nashville,Retirement for Person or Organization,Retired on behalf of Bentley Nashville as part of their PAS2060 certification.,NA,207334,963
2022-12-21,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,963,The Purus Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,77342,8,14294-570397566-570397573-VCS-VCU-263-VER-BR-14-963-01012018-31122018-1,NA,CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold,TRUE,2023-06-09,Bentley Panama,Retirement for Person or Organization,Retired on behalf of Bentley Panama as part of their PAS2060 certification.,NA,207335,963
