issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2024-03-07,NA,VCU,2019-08-31,2019-12-31,2019-08-31,2019-12-31,3002,Hiwi REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,8186,8186,16421-762090206-762098391-VCS-VCU-576-VER-BR-14-3002-31082019-31122019-1,NA,CCB-No Distinction,TRUE,2024-03-28,Karoon Petróleo e Gás ltda,Environmental Benefit,Retired for Karoon Petróleo e Gás ltda,NA,237774,3002
2024-03-07,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,3002,Hiwi REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,55235,55235,16422-762098392-762153626-VCS-VCU-576-VER-BR-14-3002-01012020-31122020-1,NA,CCB-No Distinction,TRUE,2024-03-28,Karoon Petróleo e Gás ltda,Environmental Benefit,Retired for Karoon Petróleo e Gás ltda,NA,237775,3002
2024-03-07,NA,VCU,2021-01-01,2021-12-31,2021-01-01,2021-12-31,3002,Hiwi REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,65894,65894,16423-762153627-762219520-VCS-VCU-576-VER-BR-14-3002-01012021-31122021-1,NA,CCB-No Distinction,TRUE,2024-03-28,Karoon Petróleo e Gás ltda,Environmental Benefit,Retired for Karoon Petróleo e Gás ltda,NA,237776,3002
2024-03-07,NA,VCU,2022-01-01,2022-04-20,2022-01-01,2022-04-20,3002,Hiwi REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,22058,12759,16424-762219521-762232279-VCS-VCU-576-VER-BR-14-3002-01012022-20042022-1,NA,CCB-No Distinction,TRUE,2024-03-28,Karoon Petróleo e Gás ltda,Environmental Benefit,Retired for Karoon Petróleo e Gás ltda,NA,237777,3002
2024-03-07,NA,VCU,2022-01-01,2022-04-20,2022-01-01,2022-04-20,3002,Hiwi REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,22058,9299,16424-762232280-762241578-VCS-VCU-576-VER-BR-14-3002-01012022-20042022-1,NA,CCB-No Distinction,TRUE,2024-09-19,,,,NA,240971,3002
