issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2022-12-15,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,143,Bandeira and Capelli Ceramics Fuel Switching Project,Latin America,Brazil,Energy industries (renewable/non-renewable sources),AMS-I.E.,8121,4060,14217-563546055-563550114-VCS-VCU-291-VER-BR-1-143-01012018-31122018-1,NA,Social Carbon,FALSE,NA,,,,NA,188262,143
2022-12-15,NA,VCU,2018-01-01,2018-12-31,2018-01-01,2018-12-31,143,Bandeira and Capelli Ceramics Fuel Switching Project,Latin America,Brazil,Energy industries (renewable/non-renewable sources),AMS-I.E.,8121,4061,14217-563550115-563554175-VCS-VCU-291-VER-BR-1-143-01012018-31122018-1,NA,Social Carbon,FALSE,NA,,,,NA,190421,143
2022-12-15,NA,VCU,2016-04-01,2016-12-31,2016-04-01,2016-12-31,143,Bandeira and Capelli Ceramics Fuel Switching Project,Latin America,Brazil,Energy industries (renewable/non-renewable sources),AMS-I.E.,9198,4399,14218-563554176-563558574-VCS-VCU-291-VER-BR-1-143-01042016-31122016-1,NA,Social Carbon,FALSE,NA,,,,NA,188263,143
2022-12-15,NA,VCU,2016-04-01,2016-12-31,2016-04-01,2016-12-31,143,Bandeira and Capelli Ceramics Fuel Switching Project,Latin America,Brazil,Energy industries (renewable/non-renewable sources),AMS-I.E.,9198,3599,14218-563558775-563562373-VCS-VCU-291-VER-BR-1-143-01042016-31122016-1,NA,Social Carbon,FALSE,NA,,,,NA,190420,143
2022-12-15,NA,VCU,2016-04-01,2016-12-31,2016-04-01,2016-12-31,143,Bandeira and Capelli Ceramics Fuel Switching Project,Latin America,Brazil,Energy industries (renewable/non-renewable sources),AMS-I.E.,9198,200,14218-563558575-563558774-VCS-VCU-291-VER-BR-1-143-01042016-31122016-1,NA,Social Carbon,FALSE,NA,,,,NA,190424,143
2022-12-15,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,143,Bandeira and Capelli Ceramics Fuel Switching Project,Latin America,Brazil,Energy industries (renewable/non-renewable sources),AMS-I.E.,4217,2108,14219-563562374-563564481-VCS-VCU-291-VER-BR-1-143-01012019-31122019-1,NA,Social Carbon,FALSE,NA,,,,NA,188264,143
2022-12-15,NA,VCU,2019-01-01,2019-12-31,2019-01-01,2019-12-31,143,Bandeira and Capelli Ceramics Fuel Switching Project,Latin America,Brazil,Energy industries (renewable/non-renewable sources),AMS-I.E.,4217,2109,14219-563564482-563566590-VCS-VCU-291-VER-BR-1-143-01012019-31122019-1,NA,Social Carbon,FALSE,NA,,,,NA,190419,143
2022-12-15,NA,VCU,2017-01-01,2017-12-31,2017-01-01,2017-12-31,143,Bandeira and Capelli Ceramics Fuel Switching Project,Latin America,Brazil,Energy industries (renewable/non-renewable sources),AMS-I.E.,8717,4359,14220-563566591-563570949-VCS-VCU-291-VER-BR-1-143-01012017-31122017-1,NA,Social Carbon,FALSE,NA,,,,NA,188265,143
2022-12-15,NA,VCU,2017-01-01,2017-12-31,2017-01-01,2017-12-31,143,Bandeira and Capelli Ceramics Fuel Switching Project,Latin America,Brazil,Energy industries (renewable/non-renewable sources),AMS-I.E.,8717,4358,14220-563570950-563575307-VCS-VCU-291-VER-BR-1-143-01012017-31122017-1,NA,Social Carbon,FALSE,NA,,,,NA,190418,143
2022-08-12,NA,VCU,2016-04-01,2016-12-31,2016-04-01,2016-12-31,143,Bandeira and Capelli Ceramics Fuel Switching Project,Latin America,Brazil,Energy industries (renewable/non-renewable sources),AMS-I.E.,9198,115,13556-513003457-513003571-VCS-VCU-291-VER-BR-1-143-01042016-31122016-1,NA,Social Carbon,TRUE,2022-10-05,Confebras,Environmental Benefit,Retirement on be half of Confebras - 14º Congresso Brasileiro do Cooperativismo de Crédito - 14º CONCRED,NA,175768,143
