issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2021-07-12,NA,VCU,2015-01-01,2015-12-31,2015-01-01,2015-12-31,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,15873,15873,10758-246913332-246929204-VCS-VCU-259-VER-IN-1-132-01012015-31122015-0,NA,NA,TRUE,2021-10-18,0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,Other,TOUCAN-1.0-137-0x1916729b2deb5e520cde947d3a4005485bece97a41fc497eb3b7bf094dcf69f6-267,NA,136462,132
2021-07-12,NA,VCU,2016-01-01,2016-07-26,2016-01-01,2016-07-26,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,5423,3856,10759-246929205-246933060-VCS-VCU-259-VER-IN-1-132-01012016-26072016-0,NA,NA,TRUE,2024-07-26,,,,NA,136463,132
2021-07-12,NA,VCU,2016-01-01,2016-07-26,2016-01-01,2016-07-26,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,5423,1567,10759-246933061-246934627-VCS-VCU-259-VER-IN-1-132-01012016-26072016-0,NA,NA,TRUE,2024-07-26,,,,NA,253812,132
2021-07-12,NA,VCU,2014-01-01,2014-12-31,2014-01-01,2014-12-31,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,17498,17498,10760-246934628-246952125-VCS-VCU-259-VER-IN-1-132-01012014-31122014-0,NA,NA,TRUE,2021-10-18,0xB208E3Dcc8e2b091fa4b9Aa65D528FDfDc8bfA93,Other,TOUCAN-1.0-137-0x25d3dbda52f29e97f17be4763cf621d7d74e3ee7367211edddc62aaf31b9b503-221,NA,136464,132
2021-07-12,NA,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,21040,7694,10761-246952126-246959819-VCS-VCU-259-VER-IN-1-132-01012013-31122013-0,NA,NA,TRUE,2021-10-18,0xB208E3Dcc8e2b091fa4b9Aa65D528FDfDc8bfA93,Other,TOUCAN-1.0-137-0xd09f5817f691ec50ce7ed73688298170a5f8df14a8834d64b48eb8f9ad028eb9-236,NA,136465,132
2021-07-12,NA,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,21040,13346,10761-246959820-246973165-VCS-VCU-259-VER-IN-1-132-01012013-31122013-0,NA,NA,TRUE,2021-10-18,0xee9930a62fbf85fb443ad3d7410da665ebc90b83,Other,TOUCAN-1.0-137-0x195bea0c7538bcb1353d228ed79341d4ac3fd571e4138577cae9192915816bd9-210,NA,148404,132
2021-07-12,NA,VCU,2011-09-01,2011-12-31,2011-09-01,2011-12-31,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,8482,4999,10762-246973166-246978164-VCS-VCU-259-VER-IN-1-132-01092011-31122011-0,NA,NA,TRUE,2021-10-17,0xAf529400FF068AFbdc907c699B9184a4381481B0,Other,TOUCAN-1.0-137-0x4097fb7f972a371a985706d4a28b6dd14f508bd72bdb37377c1c0c792389fb99-135,NA,136466,132
2021-07-12,NA,VCU,2011-09-01,2011-12-31,2011-09-01,2011-12-31,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,8482,3483,10762-246978165-246981647-VCS-VCU-259-VER-IN-1-132-01092011-31122011-0,NA,NA,TRUE,2021-10-19,0xB208E3Dcc8e2b091fa4b9Aa65D528FDfDc8bfA93,Other,TOUCAN-1.0-137-0x45f750f7febc753020378a1768eed933b7917b3eb4662bc083a94146b35632ab-308,NA,148710,132
2021-07-12,NA,VCU,2012-01-01,2012-12-31,2012-01-01,2012-12-31,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,16326,16326,10763-246981648-246997973-VCS-VCU-259-VER-IN-1-132-01012012-31122012-0,NA,NA,TRUE,2021-10-18,0xB208E3Dcc8e2b091fa4b9Aa65D528FDfDc8bfA93,Other,TOUCAN-1.0-137-0xea1911ec4a89faf127c48a4f4044391f255e716d3dda7ec75c524978d736d1be-217,NA,136467,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,2506,208-7263602-7266107-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2012-10-05,,,,NA,150,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,37,208-7266108-7266144-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2013-07-09,CF Donors,Retirement for Person or Organization,CF Donors,NA,5072,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,57,208-7266145-7266201-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2014-04-02,,,,NA,6324,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,204,208-7266202-7266405-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2015-01-16,,,,NA,9255,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,70,208-7266406-7266475-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2015-04-21,,,,NA,10577,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,69,208-7266476-7266544-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2015-07-13,,,,NA,11041,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,69,208-7266545-7266613-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2015-10-14,,,,NA,11473,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,77,208-7266614-7266690-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2016-04-08,,,,NA,12056,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,75,208-7266691-7266765-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2016-07-08,,,,NA,13314,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,152,208-7266766-7266917-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2017-02-07,,,,NA,14001,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,20,208-7266918-7266937-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2017-04-26,,,,NA,16092,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,152,208-7266938-7267089-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2017-10-04,,,,NA,16552,132
2009-09-03,NA,VCU,2006-07-27,2008-09-30,2006-07-27,2008-09-30,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,45321,7029,208-7267090-7274118-VCU-009-APX-IN-1-132-27072006-30092008-0,NA,NA,TRUE,2018-10-03,,,,NA,17668,132
