sg_partido,sg_ue,icat,cd_municipio_ibge,nome_municipio,uf,cat_vereador
PP,01104,16.94,1200328,JORDAO,AC,1. péssimo
PP,01104,16.94,1200328,JORDAO,AC,1. péssimo
PDT,01104,56.75,1200328,JORDAO,AC,3. regular
PV,01104,64.62,1200328,JORDAO,AC,4. bom
REPUBLICANOS,01104,14.1,1200328,JORDAO,AC,1. péssimo
PODE,01090,20.7,1200336,MANCIO LIMA,AC,1. péssimo
PL,01090,7.85,1200336,MANCIO LIMA,AC,1. péssimo
MDB,01090,17.41,1200336,MANCIO LIMA,AC,1. péssimo
PP,01090,16.94,1200336,MANCIO LIMA,AC,1. péssimo
REPUBLICANOS,01090,14.1,1200336,MANCIO LIMA,AC,1. péssimo
REPUBLICANOS,01090,14.1,1200336,MANCIO LIMA,AC,1. péssimo
PODE,01090,20.7,1200336,MANCIO LIMA,AC,1. péssimo
MDB,01090,17.41,1200336,MANCIO LIMA,AC,1. péssimo
PP,01090,16.94,1200336,MANCIO LIMA,AC,1. péssimo
PSD,01090,23.02,1200336,MANCIO LIMA,AC,1. péssimo
PP,01090,16.94,1200336,MANCIO LIMA,AC,1. péssimo
PSD,01554,23.02,1200344,MANOEL URBANO,AC,1. péssimo
UNIÃO,01554,15.68,1200344,MANOEL URBANO,AC,1. péssimo
PP,01554,16.94,1200344,MANOEL URBANO,AC,1. péssimo
PP,01554,16.94,1200344,MANOEL URBANO,AC,1. péssimo
PSD,01554,23.02,1200344,MANOEL URBANO,AC,1. péssimo
MDB,01554,17.41,1200344,MANOEL URBANO,AC,1. péssimo
PP,01554,16.94,1200344,MANOEL URBANO,AC,1. péssimo
REPUBLICANOS,01554,14.1,1200344,MANOEL URBANO,AC,1. péssimo
MDB,01554,17.41,1200344,MANOEL URBANO,AC,1. péssimo
PC do B,01040,94.23,1200351,MARECHAL THAUMATURGO,AC,5. ótimo
UNIÃO,01040,15.68,1200351,MARECHAL THAUMATURGO,AC,1. péssimo
PP,01040,16.94,1200351,MARECHAL THAUMATURGO,AC,1. péssimo
PODE,01040,20.7,1200351,MARECHAL THAUMATURGO,AC,1. péssimo
PDT,01040,56.75,1200351,MARECHAL THAUMATURGO,AC,3. regular
PP,01040,16.94,1200351,MARECHAL THAUMATURGO,AC,1. péssimo
PODE,01040,20.7,1200351,MARECHAL THAUMATURGO,AC,1. péssimo
PSD,01040,23.02,1200351,MARECHAL THAUMATURGO,AC,1. péssimo
PP,01040,16.94,1200351,MARECHAL THAUMATURGO,AC,1. péssimo
PSD,01040,23.02,1200351,MARECHAL THAUMATURGO,AC,1. péssimo
PSD,01040,23.02,1200351,MARECHAL THAUMATURGO,AC,1. péssimo
UNIÃO,01511,15.68,1200385,PLACIDO DE CASTRO,AC,1. péssimo
PP,01511,16.94,1200385,PLACIDO DE CASTRO,AC,1. péssimo
REPUBLICANOS,01511,14.1,1200385,PLACIDO DE CASTRO,AC,1. péssimo
UNIÃO,01511,15.68,1200385,PLACIDO DE CASTRO,AC,1. péssimo
PL,01511,7.85,1200385,PLACIDO DE CASTRO,AC,1. péssimo
PSD,01511,23.02,1200385,PLACIDO DE CASTRO,AC,1. péssimo
PSD,01511,23.02,1200385,PLACIDO DE CASTRO,AC,1. péssimo
SOLIDARIEDADE,01511,33.33,1200385,PLACIDO DE CASTRO,AC,2. ruim
PP,01511,16.94,1200385,PLACIDO DE CASTRO,AC,1. péssimo
UNIÃO,01511,15.68,1200385,PLACIDO DE CASTRO,AC,1. péssimo
PP,01511,16.94,1200385,PLACIDO DE CASTRO,AC,1. péssimo
PL,01023,7.85,1200807,PORTO ACRE,AC,1. péssimo
PP,01023,16.94,1200807,PORTO ACRE,AC,1. péssimo
PP,01023,16.94,1200807,PORTO ACRE,AC,1. péssimo
PP,01023,16.94,1200807,PORTO ACRE,AC,1. péssimo
UNIÃO,01023,15.68,1200807,PORTO ACRE,AC,1. péssimo
PSD,01023,23.02,1200807,PORTO ACRE,AC,1. péssimo
MDB,01023,17.41,1200807,PORTO ACRE,AC,1. péssimo
PP,01023,16.94,1200807,PORTO ACRE,AC,1. péssimo
PSD,01023,23.02,1200807,PORTO ACRE,AC,1. péssimo
PP,01066,16.94,1200393,PORTO WALTER,AC,1. péssimo
PSD,01066,23.02,1200393,PORTO WALTER,AC,1. péssimo
PP,01066,16.94,1200393,PORTO WALTER,AC,1. péssimo
PP,01066,16.94,1200393,PORTO WALTER,AC,1. péssimo
UNIÃO,01066,15.68,1200393,PORTO WALTER,AC,1. péssimo
REPUBLICANOS,01066,14.1,1200393,PORTO WALTER,AC,1. péssimo
UNIÃO,01066,15.68,1200393,PORTO WALTER,AC,1. péssimo
PP,01066,16.94,1200393,PORTO WALTER,AC,1. péssimo
PSD,01066,23.02,1200393,PORTO WALTER,AC,1. péssimo
PP,01392,16.94,1200401,RIO BRANCO,AC,1. péssimo
PT,01392,73.72,1200401,RIO BRANCO,AC,4. bom
PL,01392,7.85,1200401,RIO BRANCO,AC,1. péssimo
PP,01392,16.94,1200401,RIO BRANCO,AC,1. péssimo
MDB,01392,17.41,1200401,RIO BRANCO,AC,1. péssimo
PP,01392,16.94,1200401,RIO BRANCO,AC,1. péssimo
MDB,01392,17.41,1200401,RIO BRANCO,AC,1. péssimo
PP,01392,16.94,1200401,RIO BRANCO,AC,1. péssimo
UNIÃO,01392,15.68,1200401,RIO BRANCO,AC,1. péssimo
PODE,01392,20.7,1200401,RIO BRANCO,AC,1. péssimo
PL,01392,7.85,1200401,RIO BRANCO,AC,1. péssimo
PSDB,01392,15.21,1200401,RIO BRANCO,AC,1. péssimo
PP,01392,16.94,1200401,RIO BRANCO,AC,1. péssimo
PSDB,01392,15.21,1200401,RIO BRANCO,AC,1. péssimo
UNIÃO,01392,15.68,1200401,RIO BRANCO,AC,1. péssimo
SOLIDARIEDADE,01392,33.33,1200401,RIO BRANCO,AC,2. ruim
MDB,01392,17.41,1200401,RIO BRANCO,AC,1. péssimo
PL,01392,7.85,1200401,RIO BRANCO,AC,1. péssimo
UNIÃO,01392,15.68,1200401,RIO BRANCO,AC,1. péssimo
PP,01392,16.94,1200401,RIO BRANCO,AC,1. péssimo
REPUBLICANOS,01392,14.1,1200401,RIO BRANCO,AC,1. péssimo
SOLIDARIEDADE,01082,33.33,1200427,RODRIGUES ALVES,AC,2. ruim
PSD,01082,23.02,1200427,RODRIGUES ALVES,AC,1. péssimo
PL,01082,7.85,1200427,RODRIGUES ALVES,AC,1. péssimo
PSD,01082,23.02,1200427,RODRIGUES ALVES,AC,1. péssimo
REPUBLICANOS,01082,14.1,1200427,RODRIGUES ALVES,AC,1. péssimo
PSD,01082,23.02,1200427,RODRIGUES ALVES,AC,1. péssimo
PRD,01082,20.83,1200427,RODRIGUES ALVES,AC,1. péssimo
PL,01082,7.85,1200427,RODRIGUES ALVES,AC,1. péssimo
REPUBLICANOS,01082,14.1,1200427,RODRIGUES ALVES,AC,1. péssimo
PRD,01082,20.83,1200427,RODRIGUES ALVES,AC,1. péssimo
PL,01082,7.85,1200427,RODRIGUES ALVES,AC,1. péssimo
PP,01031,16.94,1200435,SANTA ROSA DO PURUS,AC,1. péssimo
SOLIDARIEDADE,01031,33.33,1200435,SANTA ROSA DO PURUS,AC,2. ruim
MDB,01031,17.41,1200435,SANTA ROSA DO PURUS,AC,1. péssimo
PC do B,01031,94.23,1200435,SANTA ROSA DO PURUS,AC,5. ótimo
PL,01031,7.85,1200435,SANTA ROSA DO PURUS,AC,1. péssimo
PL,01031,7.85,1200435,SANTA ROSA DO PURUS,AC,1. péssimo
MDB,01031,17.41,1200435,SANTA ROSA DO PURUS,AC,1. péssimo
PP,01031,16.94,1200435,SANTA ROSA DO PURUS,AC,1. péssimo
PODE,01031,20.7,1200435,SANTA ROSA DO PURUS,AC,1. péssimo
PSD,01457,23.02,1200500,SENA MADUREIRA,AC,1. péssimo
PP,01457,16.94,1200500,SENA MADUREIRA,AC,1. péssimo
PP,01457,16.94,1200500,SENA MADUREIRA,AC,1. péssimo
PSD,01457,23.02,1200500,SENA MADUREIRA,AC,1. péssimo
PP,01457,16.94,1200500,SENA MADUREIRA,AC,1. péssimo
MDB,01457,17.41,1200500,SENA MADUREIRA,AC,1. péssimo
PL,01457,7.85,1200500,SENA MADUREIRA,AC,1. péssimo
PSD,01457,23.02,1200500,SENA MADUREIRA,AC,1. péssimo
PSD,01457,23.02,1200500,SENA MADUREIRA,AC,1. péssimo
REPUBLICANOS,01457,14.1,1200500,SENA MADUREIRA,AC,1. péssimo
PP,01457,16.94,1200500,SENA MADUREIRA,AC,1. péssimo
PL,01457,7.85,1200500,SENA MADUREIRA,AC,1. péssimo
PL,01457,7.85,1200500,SENA MADUREIRA,AC,1. péssimo
REPUBLICANOS,01538,14.1,1200450,SENADOR GUIOMARD,AC,1. péssimo
PP,01538,16.94,1200450,SENADOR GUIOMARD,AC,1. péssimo
PSD,01538,23.02,1200450,SENADOR GUIOMARD,AC,1. péssimo
REPUBLICANOS,01538,14.1,1200450,SENADOR GUIOMARD,AC,1. péssimo
PP,01538,16.94,1200450,SENADOR GUIOMARD,AC,1. péssimo
UNIÃO,01538,15.68,1200450,SENADOR GUIOMARD,AC,1. péssimo
UNIÃO,01538,15.68,1200450,SENADOR GUIOMARD,AC,1. péssimo
SOLIDARIEDADE,01538,33.33,1200450,SENADOR GUIOMARD,AC,2. ruim
PP,01538,16.94,1200450,SENADOR GUIOMARD,AC,1. péssimo
PP,01538,16.94,1200450,SENADOR GUIOMARD,AC,1. péssimo
PL,01538,7.85,1200450,SENADOR GUIOMARD,AC,1. péssimo
PP,01473,16.94,1200609,TARAUACA,AC,1. péssimo
PC do B,01473,94.23,1200609,TARAUACA,AC,5. ótimo
PP,01473,16.94,1200609,TARAUACA,AC,1. péssimo
PDT,01473,56.75,1200609,TARAUACA,AC,3. regular
PP,01473,16.94,1200609,TARAUACA,AC,1. péssimo
PSDB,01473,15.21,1200609,TARAUACA,AC,1. péssimo
PP,01473,16.94,1200609,TARAUACA,AC,1. péssimo
PDT,01473,56.75,1200609,TARAUACA,AC,3. regular
PDT,01473,56.75,1200609,TARAUACA,AC,3. regular
PC do B,01473,94.23,1200609,TARAUACA,AC,5. ótimo
PODE,01473,20.7,1200609,TARAUACA,AC,1. péssimo
MDB,01473,17.41,1200609,TARAUACA,AC,1. péssimo
PDT,01473,56.75,1200609,TARAUACA,AC,3. regular
UNIÃO,01490,15.68,1200708,XAPURI,AC,1. péssimo
REPUBLICANOS,01490,14.1,1200708,XAPURI,AC,1. péssimo
PDT,01490,56.75,1200708,XAPURI,AC,3. regular
PP,01490,16.94,1200708,XAPURI,AC,1. péssimo
PSDB,01490,15.21,1200708,XAPURI,AC,1. péssimo
UNIÃO,01490,15.68,1200708,XAPURI,AC,1. péssimo
PP,01490,16.94,1200708,XAPURI,AC,1. péssimo
PSDB,01490,15.21,1200708,XAPURI,AC,1. péssimo
PDT,01490,56.75,1200708,XAPURI,AC,3. regular
UNIÃO,02895,15.68,1300029,ALVARAES,AM,1. péssimo
PT,02895,73.72,1300029,ALVARAES,AM,4. bom
UNIÃO,02895,15.68,1300029,ALVARAES,AM,1. péssimo
PP,02895,16.94,1300029,ALVARAES,AM,1. péssimo
PT,02895,73.72,1300029,ALVARAES,AM,4. bom
UNIÃO,02895,15.68,1300029,ALVARAES,AM,1. péssimo
PP,02895,16.94,1300029,ALVARAES,AM,1. péssimo
REPUBLICANOS,02895,14.1,1300029,ALVARAES,AM,1. péssimo
REPUBLICANOS,02895,14.1,1300029,ALVARAES,AM,1. péssimo
PSD,02895,23.02,1300029,ALVARAES,AM,1. péssimo
MDB,02895,17.41,1300029,ALVARAES,AM,1. péssimo
REPUBLICANOS,02917,14.1,1300060,AMATURA,AM,1. péssimo
UNIÃO,02917,15.68,1300060,AMATURA,AM,1. péssimo
PSD,02917,23.02,1300060,AMATURA,AM,1. péssimo
AVANTE,02917,33.86,1300060,AMATURA,AM,2. ruim
MDB,02917,17.41,1300060,AMATURA,AM,1. péssimo
PSDB,02917,15.21,1300060,AMATURA,AM,1. péssimo
UNIÃO,02917,15.68,1300060,AMATURA,AM,1. péssimo
PSDB,02917,15.21,1300060,AMATURA,AM,1. péssimo
MDB,02917,17.41,1300060,AMATURA,AM,1. péssimo
MDB,02933,17.41,1300086,ANAMA,AM,1. péssimo
MDB,02933,17.41,1300086,ANAMA,AM,1. péssimo
UNIÃO,02933,15.68,1300086,ANAMA,AM,1. péssimo
PSD,02933,23.02,1300086,ANAMA,AM,1. péssimo
PSD,02933,23.02,1300086,ANAMA,AM,1. péssimo
PP,02933,16.94,1300086,ANAMA,AM,1. péssimo
PP,02933,16.94,1300086,ANAMA,AM,1. péssimo
UNIÃO,02933,15.68,1300086,ANAMA,AM,1. péssimo
REPUBLICANOS,02933,14.1,1300086,ANAMA,AM,1. péssimo
PSD,02038,23.02,1300102,ANORI,AM,1. péssimo
PP,02038,16.94,1300102,ANORI,AM,1. péssimo
PP,02038,16.94,1300102,ANORI,AM,1. péssimo
PP,02038,16.94,1300102,ANORI,AM,1. péssimo
UNIÃO,02038,15.68,1300102,ANORI,AM,1. péssimo
PP,02038,16.94,1300102,ANORI,AM,1. péssimo
UNIÃO,02038,15.68,1300102,ANORI,AM,1. péssimo
UNIÃO,02038,15.68,1300102,ANORI,AM,1. péssimo
UNIÃO,02038,15.68,1300102,ANORI,AM,1. péssimo
PSD,02038,23.02,1300102,ANORI,AM,1. péssimo
UNIÃO,02038,15.68,1300102,ANORI,AM,1. péssimo
PL,02003,7.85,1300144,APUI,AM,1. péssimo
UNIÃO,02003,15.68,1300144,APUI,AM,1. péssimo
UNIÃO,02003,15.68,1300144,APUI,AM,1. péssimo
MDB,02003,17.41,1300144,APUI,AM,1. péssimo
PSD,02003,23.02,1300144,APUI,AM,1. péssimo
MDB,02003,17.41,1300144,APUI,AM,1. péssimo
PL,02003,7.85,1300144,APUI,AM,1. péssimo
UNIÃO,02003,15.68,1300144,APUI,AM,1. péssimo
PP,02003,16.94,1300144,APUI,AM,1. péssimo
UNIÃO,02003,15.68,1300144,APUI,AM,1. péssimo
REPUBLICANOS,02003,14.1,1300144,APUI,AM,1. péssimo
UNIÃO,02054,15.68,1300201,ATALAIA DO NORTE,AM,1. péssimo
PODE,02054,20.7,1300201,ATALAIA DO NORTE,AM,1. péssimo
UNIÃO,02054,15.68,1300201,ATALAIA DO NORTE,AM,1. péssimo
PODE,02054,20.7,1300201,ATALAIA DO NORTE,AM,1. péssimo
PP,02054,16.94,1300201,ATALAIA DO NORTE,AM,1. péssimo
UNIÃO,02054,15.68,1300201,ATALAIA DO NORTE,AM,1. péssimo
REPUBLICANOS,02054,14.1,1300201,ATALAIA DO NORTE,AM,1. péssimo
MDB,02054,17.41,1300201,ATALAIA DO NORTE,AM,1. péssimo
PSD,02054,23.02,1300201,ATALAIA DO NORTE,AM,1. péssimo
PT,02054,73.72,1300201,ATALAIA DO NORTE,AM,4. bom
PP,02054,16.94,1300201,ATALAIA DO NORTE,AM,1. péssimo
PSD,02070,23.02,1300300,AUTAZES,AM,1. péssimo
PP,02070,16.94,1300300,AUTAZES,AM,1. péssimo
PP,02070,16.94,1300300,AUTAZES,AM,1. péssimo
MDB,02070,17.41,1300300,AUTAZES,AM,1. péssimo
PODE,02070,20.7,1300300,AUTAZES,AM,1. péssimo
UNIÃO,02070,15.68,1300300,AUTAZES,AM,1. péssimo
AVANTE,02070,33.86,1300300,AUTAZES,AM,2. ruim
PODE,02070,20.7,1300300,AUTAZES,AM,1. péssimo
DC,02070,NA,1300300,AUTAZES,AM,NA
REPUBLICANOS,02070,14.1,1300300,AUTAZES,AM,1. péssimo
PSD,02070,23.02,1300300,AUTAZES,AM,1. péssimo
PP,02070,16.94,1300300,AUTAZES,AM,1. péssimo
PSDB,02070,15.21,1300300,AUTAZES,AM,1. péssimo
PT,02097,73.72,1300409,BARCELOS,AM,4. bom
PP,02097,16.94,1300409,BARCELOS,AM,1. péssimo
MDB,02097,17.41,1300409,BARCELOS,AM,1. péssimo
PL,02097,7.85,1300409,BARCELOS,AM,1. péssimo
PODE,02097,20.7,1300409,BARCELOS,AM,1. péssimo
PL,02097,7.85,1300409,BARCELOS,AM,1. péssimo
PT,02097,73.72,1300409,BARCELOS,AM,4. bom
PODE,02097,20.7,1300409,BARCELOS,AM,1. péssimo
UNIÃO,02097,15.68,1300409,BARCELOS,AM,1. péssimo
AVANTE,02097,33.86,1300409,BARCELOS,AM,2. ruim
UNIÃO,02097,15.68,1300409,BARCELOS,AM,1. péssimo
PT,02119,73.72,1300508,BARREIRINHA,AM,4. bom
PP,02119,16.94,1300508,BARREIRINHA,AM,1. péssimo
PP,02119,16.94,1300508,BARREIRINHA,AM,1. péssimo
UNIÃO,02119,15.68,1300508,BARREIRINHA,AM,1. péssimo
UNIÃO,02119,15.68,1300508,BARREIRINHA,AM,1. péssimo
PSD,02119,23.02,1300508,BARREIRINHA,AM,1. péssimo
PRD,02119,20.83,1300508,BARREIRINHA,AM,1. péssimo
PODE,02119,20.7,1300508,BARREIRINHA,AM,1. péssimo
PODE,02119,20.7,1300508,BARREIRINHA,AM,1. péssimo
PSD,02119,23.02,1300508,BARREIRINHA,AM,1. péssimo
UNIÃO,02119,15.68,1300508,BARREIRINHA,AM,1. péssimo
PSD,02135,23.02,1300607,BENJAMIN CONSTANT,AM,1. péssimo
PT,02135,73.72,1300607,BENJAMIN CONSTANT,AM,4. bom
PT,02135,73.72,1300607,BENJAMIN CONSTANT,AM,4. bom
PSD,02135,23.02,1300607,BENJAMIN CONSTANT,AM,1. péssimo
REPUBLICANOS,02135,14.1,1300607,BENJAMIN CONSTANT,AM,1. péssimo
PL,02135,7.85,1300607,BENJAMIN CONSTANT,AM,1. péssimo
MDB,02135,17.41,1300607,BENJAMIN CONSTANT,AM,1. péssimo
PODE,02135,20.7,1300607,BENJAMIN CONSTANT,AM,1. péssimo
REPUBLICANOS,02135,14.1,1300607,BENJAMIN CONSTANT,AM,1. péssimo
PL,02135,7.85,1300607,BENJAMIN CONSTANT,AM,1. péssimo
MDB,02135,17.41,1300607,BENJAMIN CONSTANT,AM,1. péssimo
MDB,02135,17.41,1300607,BENJAMIN CONSTANT,AM,1. péssimo
PSD,02135,23.02,1300607,BENJAMIN CONSTANT,AM,1. péssimo
PSD,02950,23.02,1300631,BERURI,AM,1. péssimo
MDB,02950,17.41,1300631,BERURI,AM,1. péssimo
MDB,02950,17.41,1300631,BERURI,AM,1. péssimo
PODE,02950,20.7,1300631,BERURI,AM,1. péssimo
REPUBLICANOS,02950,14.1,1300631,BERURI,AM,1. péssimo
AVANTE,02950,33.86,1300631,BERURI,AM,2. ruim
PODE,02950,20.7,1300631,BERURI,AM,1. péssimo
PODE,02950,20.7,1300631,BERURI,AM,1. péssimo
REPUBLICANOS,02950,14.1,1300631,BERURI,AM,1. péssimo
REPUBLICANOS,02950,14.1,1300631,BERURI,AM,1. péssimo
AVANTE,02950,33.86,1300631,BERURI,AM,2. ruim
REPUBLICANOS,02976,14.1,1300680,BOA VISTA DO RAMOS,AM,1. péssimo
PL,02976,7.85,1300680,BOA VISTA DO RAMOS,AM,1. péssimo
PSDB,02976,15.21,1300680,BOA VISTA DO RAMOS,AM,1. péssimo
MDB,02976,17.41,1300680,BOA VISTA DO RAMOS,AM,1. péssimo
UNIÃO,02976,15.68,1300680,BOA VISTA DO RAMOS,AM,1. péssimo
UNIÃO,02976,15.68,1300680,BOA VISTA DO RAMOS,AM,1. péssimo
PSD,02976,23.02,1300680,BOA VISTA DO RAMOS,AM,1. péssimo
PSDB,02976,15.21,1300680,BOA VISTA DO RAMOS,AM,1. péssimo
PSD,02976,23.02,1300680,BOA VISTA DO RAMOS,AM,1. péssimo
REPUBLICANOS,02976,14.1,1300680,BOA VISTA DO RAMOS,AM,1. péssimo
UNIÃO,02976,15.68,1300680,BOA VISTA DO RAMOS,AM,1. péssimo
MOBILIZA,02151,NA,1300706,BOCA DO ACRE,AM,NA
AVANTE,02151,33.86,1300706,BOCA DO ACRE,AM,2. ruim
PP,02151,16.94,1300706,BOCA DO ACRE,AM,1. péssimo
PP,02151,16.94,1300706,BOCA DO ACRE,AM,1. péssimo
PSD,02151,23.02,1300706,BOCA DO ACRE,AM,1. péssimo
MDB,02151,17.41,1300706,BOCA DO ACRE,AM,1. péssimo
PSD,02151,23.02,1300706,BOCA DO ACRE,AM,1. péssimo
UNIÃO,02151,15.68,1300706,BOCA DO ACRE,AM,1. péssimo
PL,02151,7.85,1300706,BOCA DO ACRE,AM,1. péssimo
PP,02151,16.94,1300706,BOCA DO ACRE,AM,1. péssimo
PSB,02151,60.65,1300706,BOCA DO ACRE,AM,4. bom
MDB,02151,17.41,1300706,BOCA DO ACRE,AM,1. péssimo
PSB,02151,60.65,1300706,BOCA DO ACRE,AM,4. bom
REPUBLICANOS,02178,14.1,1300805,BORBA,AM,1. péssimo
REPUBLICANOS,02178,14.1,1300805,BORBA,AM,1. péssimo
PSDB,02178,15.21,1300805,BORBA,AM,1. péssimo
AVANTE,02178,33.86,1300805,BORBA,AM,2. ruim
MDB,02178,17.41,1300805,BORBA,AM,1. péssimo
UNIÃO,02178,15.68,1300805,BORBA,AM,1. péssimo
REPUBLICANOS,02178,14.1,1300805,BORBA,AM,1. péssimo
PRD,02178,20.83,1300805,BORBA,AM,1. péssimo
MDB,02178,17.41,1300805,BORBA,AM,1. péssimo
