sg_partido,sg_ue,icat,cd_municipio_ibge,nome_municipio,uf,cat_vereador
PSB,07200,60.65,2101939,BERNARDO DO MEARIM,MA,4. bom
PDT,07200,56.75,2101939,BERNARDO DO MEARIM,MA,3. regular
PDT,07200,56.75,2101939,BERNARDO DO MEARIM,MA,3. regular
PDT,07200,56.75,2101939,BERNARDO DO MEARIM,MA,3. regular
PDT,07200,56.75,2101939,BERNARDO DO MEARIM,MA,3. regular
UNIÃO,07200,15.68,2101939,BERNARDO DO MEARIM,MA,1. péssimo
PDT,07200,56.75,2101939,BERNARDO DO MEARIM,MA,3. regular
PL,07323,7.85,2101970,BOA VISTA DO GURUPI,MA,1. péssimo
REPUBLICANOS,07323,14.1,2101970,BOA VISTA DO GURUPI,MA,1. péssimo
PDT,07323,56.75,2101970,BOA VISTA DO GURUPI,MA,3. regular
PDT,07323,56.75,2101970,BOA VISTA DO GURUPI,MA,3. regular
PL,07323,7.85,2101970,BOA VISTA DO GURUPI,MA,1. péssimo
PL,07323,7.85,2101970,BOA VISTA DO GURUPI,MA,1. péssimo
PC do B,07323,94.23,2101970,BOA VISTA DO GURUPI,MA,5. ótimo
PL,07323,7.85,2101970,BOA VISTA DO GURUPI,MA,1. péssimo
PDT,07323,56.75,2101970,BOA VISTA DO GURUPI,MA,3. regular
PRD,09555,20.83,2102002,BOM JARDIM,MA,1. péssimo
PL,09555,7.85,2102002,BOM JARDIM,MA,1. péssimo
PDT,09555,56.75,2102002,BOM JARDIM,MA,3. regular
MDB,09555,17.41,2102002,BOM JARDIM,MA,1. péssimo
PL,09555,7.85,2102002,BOM JARDIM,MA,1. péssimo
PDT,09555,56.75,2102002,BOM JARDIM,MA,3. regular
PRD,09555,20.83,2102002,BOM JARDIM,MA,1. péssimo
MDB,09555,17.41,2102002,BOM JARDIM,MA,1. péssimo
PDT,09555,56.75,2102002,BOM JARDIM,MA,3. regular
PSB,09555,60.65,2102002,BOM JARDIM,MA,4. bom
PL,09555,7.85,2102002,BOM JARDIM,MA,1. péssimo
PL,09555,7.85,2102002,BOM JARDIM,MA,1. péssimo
PRD,09555,20.83,2102002,BOM JARDIM,MA,1. péssimo
PSB,07269,60.65,2102036,BOM JESUS DAS SELVAS,MA,4. bom
MDB,07269,17.41,2102036,BOM JESUS DAS SELVAS,MA,1. péssimo
PSB,07269,60.65,2102036,BOM JESUS DAS SELVAS,MA,4. bom
PSB,07269,60.65,2102036,BOM JESUS DAS SELVAS,MA,4. bom
PSB,07269,60.65,2102036,BOM JESUS DAS SELVAS,MA,4. bom
PSB,07269,60.65,2102036,BOM JESUS DAS SELVAS,MA,4. bom
PSB,07269,60.65,2102036,BOM JESUS DAS SELVAS,MA,4. bom
PP,07269,16.94,2102036,BOM JESUS DAS SELVAS,MA,1. péssimo
PSB,07269,60.65,2102036,BOM JESUS DAS SELVAS,MA,4. bom
PP,07269,16.94,2102036,BOM JESUS DAS SELVAS,MA,1. péssimo
MDB,07269,17.41,2102036,BOM JESUS DAS SELVAS,MA,1. péssimo
UNIÃO,07285,15.68,2102077,BOM LUGAR,MA,1. péssimo
UNIÃO,07285,15.68,2102077,BOM LUGAR,MA,1. péssimo
UNIÃO,07285,15.68,2102077,BOM LUGAR,MA,1. péssimo
UNIÃO,07285,15.68,2102077,BOM LUGAR,MA,1. péssimo
PP,07285,16.94,2102077,BOM LUGAR,MA,1. péssimo
UNIÃO,07285,15.68,2102077,BOM LUGAR,MA,1. péssimo
UNIÃO,07285,15.68,2102077,BOM LUGAR,MA,1. péssimo
UNIÃO,07285,15.68,2102077,BOM LUGAR,MA,1. péssimo
PP,07285,16.94,2102077,BOM LUGAR,MA,1. péssimo
PP,07285,16.94,2102077,BOM LUGAR,MA,1. péssimo
UNIÃO,07285,15.68,2102077,BOM LUGAR,MA,1. péssimo
PP,07307,16.94,2102150,BREJO DE AREIA,MA,1. péssimo
PP,07307,16.94,2102150,BREJO DE AREIA,MA,1. péssimo
UNIÃO,07307,15.68,2102150,BREJO DE AREIA,MA,1. péssimo
UNIÃO,07307,15.68,2102150,BREJO DE AREIA,MA,1. péssimo
UNIÃO,07307,15.68,2102150,BREJO DE AREIA,MA,1. péssimo
PP,07307,16.94,2102150,BREJO DE AREIA,MA,1. péssimo
UNIÃO,07307,15.68,2102150,BREJO DE AREIA,MA,1. péssimo
PP,07307,16.94,2102150,BREJO DE AREIA,MA,1. péssimo
UNIÃO,07307,15.68,2102150,BREJO DE AREIA,MA,1. péssimo
MDB,07439,17.41,2102309,BURITI BRAVO,MA,1. péssimo
UNIÃO,07439,15.68,2102309,BURITI BRAVO,MA,1. péssimo
MDB,07439,17.41,2102309,BURITI BRAVO,MA,1. péssimo
UNIÃO,07439,15.68,2102309,BURITI BRAVO,MA,1. péssimo
PDT,07439,56.75,2102309,BURITI BRAVO,MA,3. regular
PC do B,07439,94.23,2102309,BURITI BRAVO,MA,5. ótimo
PC do B,07439,94.23,2102309,BURITI BRAVO,MA,5. ótimo
UNIÃO,07439,15.68,2102309,BURITI BRAVO,MA,1. péssimo
MDB,07439,17.41,2102309,BURITI BRAVO,MA,1. péssimo
PC do B,07439,94.23,2102309,BURITI BRAVO,MA,5. ótimo
PDT,07439,56.75,2102309,BURITI BRAVO,MA,3. regular
PL,07340,7.85,2102325,BURITICUPU,MA,1. péssimo
PSDB,07340,15.21,2102325,BURITICUPU,MA,1. péssimo
PDT,07340,56.75,2102325,BURITICUPU,MA,3. regular
PSDB,07340,15.21,2102325,BURITICUPU,MA,1. péssimo
PL,07340,7.85,2102325,BURITICUPU,MA,1. péssimo
PRD,07340,20.83,2102325,BURITICUPU,MA,1. péssimo
PP,07340,16.94,2102325,BURITICUPU,MA,1. péssimo
PDT,07340,56.75,2102325,BURITICUPU,MA,3. regular
PP,07340,16.94,2102325,BURITICUPU,MA,1. péssimo
PRD,07340,20.83,2102325,BURITICUPU,MA,1. péssimo
PP,07340,16.94,2102325,BURITICUPU,MA,1. péssimo
CIDADANIA,07340,42.14,2102325,BURITICUPU,MA,2. ruim
PL,07340,7.85,2102325,BURITICUPU,MA,1. péssimo
UNIÃO,07340,15.68,2102325,BURITICUPU,MA,1. péssimo
PRD,07340,20.83,2102325,BURITICUPU,MA,1. péssimo
PSDB,07366,15.21,2102358,BURITIRANA,MA,1. péssimo
MDB,07366,17.41,2102358,BURITIRANA,MA,1. péssimo
MDB,07366,17.41,2102358,BURITIRANA,MA,1. péssimo
PSDB,07366,15.21,2102358,BURITIRANA,MA,1. péssimo
PSDB,07366,15.21,2102358,BURITIRANA,MA,1. péssimo
MDB,07366,17.41,2102358,BURITIRANA,MA,1. péssimo
MDB,07366,17.41,2102358,BURITIRANA,MA,1. péssimo
PSDB,07366,15.21,2102358,BURITIRANA,MA,1. péssimo
MDB,07366,17.41,2102358,BURITIRANA,MA,1. péssimo
PSDB,07366,15.21,2102358,BURITIRANA,MA,1. péssimo
MDB,07366,17.41,2102358,BURITIRANA,MA,1. péssimo
PMB,07226,NA,2102374,CACHOEIRA GRANDE,MA,NA
PL,07226,7.85,2102374,CACHOEIRA GRANDE,MA,1. péssimo
PDT,07226,56.75,2102374,CACHOEIRA GRANDE,MA,3. regular
PDT,07226,56.75,2102374,CACHOEIRA GRANDE,MA,3. regular
PL,07226,7.85,2102374,CACHOEIRA GRANDE,MA,1. péssimo
AVANTE,07226,33.86,2102374,CACHOEIRA GRANDE,MA,2. ruim
PMB,07226,NA,2102374,CACHOEIRA GRANDE,MA,NA
PSB,07226,60.65,2102374,CACHOEIRA GRANDE,MA,4. bom
PL,07226,7.85,2102374,CACHOEIRA GRANDE,MA,1. péssimo
DC,07455,NA,2102408,CAJAPIO,MA,NA
REPUBLICANOS,07455,14.1,2102408,CAJAPIO,MA,1. péssimo
UNIÃO,07455,15.68,2102408,CAJAPIO,MA,1. péssimo
REPUBLICANOS,07455,14.1,2102408,CAJAPIO,MA,1. péssimo
PSB,07455,60.65,2102408,CAJAPIO,MA,4. bom
PSB,07455,60.65,2102408,CAJAPIO,MA,4. bom
UNIÃO,07455,15.68,2102408,CAJAPIO,MA,1. péssimo
DC,07455,NA,2102408,CAJAPIO,MA,NA
PSDB,07455,15.21,2102408,CAJAPIO,MA,1. péssimo
PSDB,07455,15.21,2102408,CAJAPIO,MA,1. péssimo
UNIÃO,07455,15.68,2102408,CAJAPIO,MA,1. péssimo
UNIÃO,07471,15.68,2102507,CAJARI,MA,1. péssimo
MDB,07471,17.41,2102507,CAJARI,MA,1. péssimo
MOBILIZA,07471,NA,2102507,CAJARI,MA,NA
MOBILIZA,07471,NA,2102507,CAJARI,MA,NA
PSDB,07471,15.21,2102507,CAJARI,MA,1. péssimo
UNIÃO,07471,15.68,2102507,CAJARI,MA,1. péssimo
UNIÃO,07471,15.68,2102507,CAJARI,MA,1. péssimo
PSD,07471,23.02,2102507,CAJARI,MA,1. péssimo
PC do B,07471,94.23,2102507,CAJARI,MA,5. ótimo
PSD,07471,23.02,2102507,CAJARI,MA,1. péssimo
PSDB,07471,15.21,2102507,CAJARI,MA,1. péssimo
REPUBLICANOS,07382,14.1,2102556,CAMPESTRE DO MARANHAO,MA,1. péssimo
UNIÃO,07382,15.68,2102556,CAMPESTRE DO MARANHAO,MA,1. péssimo
PSB,07382,60.65,2102556,CAMPESTRE DO MARANHAO,MA,4. bom
PP,07382,16.94,2102556,CAMPESTRE DO MARANHAO,MA,1. péssimo
PP,07382,16.94,2102556,CAMPESTRE DO MARANHAO,MA,1. péssimo
PV,07382,64.62,2102556,CAMPESTRE DO MARANHAO,MA,4. bom
PSB,07382,60.65,2102556,CAMPESTRE DO MARANHAO,MA,4. bom
MDB,07382,17.41,2102556,CAMPESTRE DO MARANHAO,MA,1. péssimo
REPUBLICANOS,07382,14.1,2102556,CAMPESTRE DO MARANHAO,MA,1. péssimo
PDT,07498,56.75,2102606,CANDIDO MENDES,MA,3. regular
PSB,07498,60.65,2102606,CANDIDO MENDES,MA,4. bom
PL,07498,7.85,2102606,CANDIDO MENDES,MA,1. péssimo
AVANTE,07498,33.86,2102606,CANDIDO MENDES,MA,2. ruim
PRD,07498,20.83,2102606,CANDIDO MENDES,MA,1. péssimo
PDT,07498,56.75,2102606,CANDIDO MENDES,MA,3. regular
PV,07498,64.62,2102606,CANDIDO MENDES,MA,4. bom
PDT,07498,56.75,2102606,CANDIDO MENDES,MA,3. regular
AVANTE,07498,33.86,2102606,CANDIDO MENDES,MA,2. ruim
PT,07498,73.72,2102606,CANDIDO MENDES,MA,4. bom
PL,07498,7.85,2102606,CANDIDO MENDES,MA,1. péssimo
PSB,07510,60.65,2102705,CANTANHEDE,MA,4. bom
MDB,07510,17.41,2102705,CANTANHEDE,MA,1. péssimo
UNIÃO,07510,15.68,2102705,CANTANHEDE,MA,1. péssimo
PSB,07510,60.65,2102705,CANTANHEDE,MA,4. bom
MDB,07510,17.41,2102705,CANTANHEDE,MA,1. péssimo
PSB,07510,60.65,2102705,CANTANHEDE,MA,4. bom
MDB,07510,17.41,2102705,CANTANHEDE,MA,1. péssimo
MDB,07510,17.41,2102705,CANTANHEDE,MA,1. péssimo
PSB,07510,60.65,2102705,CANTANHEDE,MA,4. bom
MDB,07510,17.41,2102705,CANTANHEDE,MA,1. péssimo
MDB,07510,17.41,2102705,CANTANHEDE,MA,1. péssimo
REPUBLICANOS,07404,14.1,2102754,CAPINZAL DO NORTE,MA,1. péssimo
PSB,07404,60.65,2102754,CAPINZAL DO NORTE,MA,4. bom
REPUBLICANOS,07404,14.1,2102754,CAPINZAL DO NORTE,MA,1. péssimo
PDT,07404,56.75,2102754,CAPINZAL DO NORTE,MA,3. regular
PSB,07404,60.65,2102754,CAPINZAL DO NORTE,MA,4. bom
REPUBLICANOS,07404,14.1,2102754,CAPINZAL DO NORTE,MA,1. péssimo
REPUBLICANOS,07404,14.1,2102754,CAPINZAL DO NORTE,MA,1. péssimo
UNIÃO,07404,15.68,2102754,CAPINZAL DO NORTE,MA,1. péssimo
PSB,07404,60.65,2102754,CAPINZAL DO NORTE,MA,4. bom
UNIÃO,07536,15.68,2102804,CAROLINA,MA,1. péssimo
PC do B,07536,94.23,2102804,CAROLINA,MA,5. ótimo
PSB,07536,60.65,2102804,CAROLINA,MA,4. bom
PSDB,07536,15.21,2102804,CAROLINA,MA,1. péssimo
PSB,07536,60.65,2102804,CAROLINA,MA,4. bom
PP,07536,16.94,2102804,CAROLINA,MA,1. péssimo
PSB,07536,60.65,2102804,CAROLINA,MA,4. bom
PSDB,07536,15.21,2102804,CAROLINA,MA,1. péssimo
PT,07536,73.72,2102804,CAROLINA,MA,4. bom
PP,07536,16.94,2102804,CAROLINA,MA,1. péssimo
UNIÃO,07536,15.68,2102804,CAROLINA,MA,1. péssimo
UNIÃO,07552,15.68,2102903,CARUTAPERA,MA,1. péssimo
PC do B,07552,94.23,2102903,CARUTAPERA,MA,5. ótimo
PP,07552,16.94,2102903,CARUTAPERA,MA,1. péssimo
PRD,07552,20.83,2102903,CARUTAPERA,MA,1. péssimo
PP,07552,16.94,2102903,CARUTAPERA,MA,1. péssimo
UNIÃO,07552,15.68,2102903,CARUTAPERA,MA,1. péssimo
PRD,07552,20.83,2102903,CARUTAPERA,MA,1. péssimo
PRD,07552,20.83,2102903,CARUTAPERA,MA,1. péssimo
UNIÃO,07552,15.68,2102903,CARUTAPERA,MA,1. péssimo
PT,07552,73.72,2102903,CARUTAPERA,MA,4. bom
PDT,07552,56.75,2102903,CARUTAPERA,MA,3. regular
PSB,07595,60.65,2103109,CEDRAL,MA,4. bom
AVANTE,07595,33.86,2103109,CEDRAL,MA,2. ruim
UNIÃO,07595,15.68,2103109,CEDRAL,MA,1. péssimo
MDB,07595,17.41,2103109,CEDRAL,MA,1. péssimo
MDB,07595,17.41,2103109,CEDRAL,MA,1. péssimo
AVANTE,07595,33.86,2103109,CEDRAL,MA,2. ruim
PSB,07595,60.65,2103109,CEDRAL,MA,4. bom
PSB,07595,60.65,2103109,CEDRAL,MA,4. bom
PSB,07595,60.65,2103109,CEDRAL,MA,4. bom
PSB,07420,60.65,2103125,CENTRAL DO MARANHAO,MA,4. bom
PSB,07420,60.65,2103125,CENTRAL DO MARANHAO,MA,4. bom
MDB,07420,17.41,2103125,CENTRAL DO MARANHAO,MA,1. péssimo
PP,07420,16.94,2103125,CENTRAL DO MARANHAO,MA,1. péssimo
PSB,07420,60.65,2103125,CENTRAL DO MARANHAO,MA,4. bom
REPUBLICANOS,07420,14.1,2103125,CENTRAL DO MARANHAO,MA,1. péssimo
CIDADANIA,07420,42.14,2103125,CENTRAL DO MARANHAO,MA,2. ruim
MDB,07420,17.41,2103125,CENTRAL DO MARANHAO,MA,1. péssimo
PP,07420,16.94,2103125,CENTRAL DO MARANHAO,MA,1. péssimo
PRD,07447,20.83,2103158,CENTRO DO GUILHERME,MA,1. péssimo
PRD,07447,20.83,2103158,CENTRO DO GUILHERME,MA,1. péssimo
PL,07447,7.85,2103158,CENTRO DO GUILHERME,MA,1. péssimo
PL,07447,7.85,2103158,CENTRO DO GUILHERME,MA,1. péssimo
PL,07447,7.85,2103158,CENTRO DO GUILHERME,MA,1. péssimo
MDB,07447,17.41,2103158,CENTRO DO GUILHERME,MA,1. péssimo
PL,07447,7.85,2103158,CENTRO DO GUILHERME,MA,1. péssimo
MDB,07447,17.41,2103158,CENTRO DO GUILHERME,MA,1. péssimo
PL,07447,7.85,2103158,CENTRO DO GUILHERME,MA,1. péssimo
PSDB,07463,15.21,2103174,CENTRO NOVO DO MARANHAO,MA,1. péssimo
PV,07463,64.62,2103174,CENTRO NOVO DO MARANHAO,MA,4. bom
PSDB,07463,15.21,2103174,CENTRO NOVO DO MARANHAO,MA,1. péssimo
PSDB,07463,15.21,2103174,CENTRO NOVO DO MARANHAO,MA,1. péssimo
PSDB,07463,15.21,2103174,CENTRO NOVO DO MARANHAO,MA,1. péssimo
PSDB,07463,15.21,2103174,CENTRO NOVO DO MARANHAO,MA,1. péssimo
PSDB,07463,15.21,2103174,CENTRO NOVO DO MARANHAO,MA,1. péssimo
PSDB,07463,15.21,2103174,CENTRO NOVO DO MARANHAO,MA,1. péssimo
PSDB,07463,15.21,2103174,CENTRO NOVO DO MARANHAO,MA,1. péssimo
PSDB,07463,15.21,2103174,CENTRO NOVO DO MARANHAO,MA,1. péssimo
MDB,07463,17.41,2103174,CENTRO NOVO DO MARANHAO,MA,1. péssimo
MDB,07480,17.41,2103257,CIDELANDIA,MA,1. péssimo
MDB,07480,17.41,2103257,CIDELANDIA,MA,1. péssimo
PV,07480,64.62,2103257,CIDELANDIA,MA,4. bom
PP,07480,16.94,2103257,CIDELANDIA,MA,1. péssimo
PSB,07480,60.65,2103257,CIDELANDIA,MA,4. bom
PSB,07480,60.65,2103257,CIDELANDIA,MA,4. bom
PV,07480,64.62,2103257,CIDELANDIA,MA,4. bom
MDB,07480,17.41,2103257,CIDELANDIA,MA,1. péssimo
PP,07480,16.94,2103257,CIDELANDIA,MA,1. péssimo
MOBILIZA,07633,NA,2103307,CODO,MA,NA
AGIR,07633,NA,2103307,CODO,MA,NA
PP,07633,16.94,2103307,CODO,MA,1. péssimo
PSDB,07633,15.21,2103307,CODO,MA,1. péssimo
PL,07633,7.85,2103307,CODO,MA,1. péssimo
PRD,07633,20.83,2103307,CODO,MA,1. péssimo
UNIÃO,07633,15.68,2103307,CODO,MA,1. péssimo
PODE,07633,20.7,2103307,CODO,MA,1. péssimo
UNIÃO,07633,15.68,2103307,CODO,MA,1. péssimo
PSDB,07633,15.21,2103307,CODO,MA,1. péssimo
PC do B,07633,94.23,2103307,CODO,MA,5. ótimo
PP,07633,16.94,2103307,CODO,MA,1. péssimo
REPUBLICANOS,07633,14.1,2103307,CODO,MA,1. péssimo
PSB,07633,60.65,2103307,CODO,MA,4. bom
SOLIDARIEDADE,07633,33.33,2103307,CODO,MA,2. ruim
SOLIDARIEDADE,07633,33.33,2103307,CODO,MA,2. ruim
MOBILIZA,07633,NA,2103307,CODO,MA,NA
PRD,07633,20.83,2103307,CODO,MA,1. péssimo
UNIÃO,07633,15.68,2103307,CODO,MA,1. péssimo
MDB,07676,17.41,2103505,COLINAS,MA,1. péssimo
PC do B,07676,94.23,2103505,COLINAS,MA,5. ótimo
PSB,07676,60.65,2103505,COLINAS,MA,4. bom
PSB,07676,60.65,2103505,COLINAS,MA,4. bom
MDB,07676,17.41,2103505,COLINAS,MA,1. péssimo
PSB,07676,60.65,2103505,COLINAS,MA,4. bom
MDB,07676,17.41,2103505,COLINAS,MA,1. péssimo
PSB,07676,60.65,2103505,COLINAS,MA,4. bom
MDB,07676,17.41,2103505,COLINAS,MA,1. péssimo
PSB,07676,60.65,2103505,COLINAS,MA,4. bom
MDB,07676,17.41,2103505,COLINAS,MA,1. péssimo
MDB,07676,17.41,2103505,COLINAS,MA,1. péssimo
MDB,07676,17.41,2103505,COLINAS,MA,1. péssimo
PSB,07501,60.65,2103554,CONCEICAO DO LAGO-ACU,MA,4. bom
PL,07501,7.85,2103554,CONCEICAO DO LAGO-ACU,MA,1. péssimo
PL,07501,7.85,2103554,CONCEICAO DO LAGO-ACU,MA,1. péssimo
PRD,07501,20.83,2103554,CONCEICAO DO LAGO-ACU,MA,1. péssimo
PP,07501,16.94,2103554,CONCEICAO DO LAGO-ACU,MA,1. péssimo
PRD,07501,20.83,2103554,CONCEICAO DO LAGO-ACU,MA,1. péssimo
PL,07501,7.85,2103554,CONCEICAO DO LAGO-ACU,MA,1. péssimo
PRD,07501,20.83,2103554,CONCEICAO DO LAGO-ACU,MA,1. péssimo
PP,07501,16.94,2103554,CONCEICAO DO LAGO-ACU,MA,1. péssimo
PDT,07692,56.75,2103604,COROATA,MA,3. regular
PSB,07692,60.65,2103604,COROATA,MA,4. bom
PP,07692,16.94,2103604,COROATA,MA,1. péssimo
PT,07692,73.72,2103604,COROATA,MA,4. bom
PDT,07692,56.75,2103604,COROATA,MA,3. regular
PSDB,07692,15.21,2103604,COROATA,MA,1. péssimo
PSB,07692,60.65,2103604,COROATA,MA,4. bom
PC do B,07692,94.23,2103604,COROATA,MA,5. ótimo
PP,07692,16.94,2103604,COROATA,MA,1. péssimo
PSB,07692,60.65,2103604,COROATA,MA,4. bom
PSDB,07692,15.21,2103604,COROATA,MA,1. péssimo
PRD,07692,20.83,2103604,COROATA,MA,1. péssimo
PSB,07692,60.65,2103604,COROATA,MA,4. bom
PRD,07692,20.83,2103604,COROATA,MA,1. péssimo
PRD,07692,20.83,2103604,COROATA,MA,1. péssimo
PSB,07714,60.65,2103703,CURURUPU,MA,4. bom
REPUBLICANOS,07714,14.1,2103703,CURURUPU,MA,1. péssimo
REPUBLICANOS,07714,14.1,2103703,CURURUPU,MA,1. péssimo
UNIÃO,07714,15.68,2103703,CURURUPU,MA,1. péssimo
PSB,07714,60.65,2103703,CURURUPU,MA,4. bom
PT,07714,73.72,2103703,CURURUPU,MA,4. bom
REPUBLICANOS,07714,14.1,2103703,CURURUPU,MA,1. péssimo
PSB,07714,60.65,2103703,CURURUPU,MA,4. bom
PT,07714,73.72,2103703,CURURUPU,MA,4. bom
UNIÃO,07714,15.68,2103703,CURURUPU,MA,1. péssimo
PSB,07714,60.65,2103703,CURURUPU,MA,4. bom
REPUBLICANOS,07714,14.1,2103703,CURURUPU,MA,1. péssimo
PT,07714,73.72,2103703,CURURUPU,MA,4. bom
PSDB,07242,15.21,2103752,DAVINOPOLIS,MA,1. péssimo
PSDB,07242,15.21,2103752,DAVINOPOLIS,MA,1. péssimo
PSD,07242,23.02,2103752,DAVINOPOLIS,MA,1. péssimo
PL,07242,7.85,2103752,DAVINOPOLIS,MA,1. péssimo
PSDB,07242,15.21,2103752,DAVINOPOLIS,MA,1. péssimo
PSD,07242,23.02,2103752,DAVINOPOLIS,MA,1. péssimo
PDT,07242,56.75,2103752,DAVINOPOLIS,MA,3. regular
PDT,07242,56.75,2103752,DAVINOPOLIS,MA,3. regular
PMB,07242,NA,2103752,DAVINOPOLIS,MA,NA
PRD,07730,20.83,2103802,DOM PEDRO,MA,1. péssimo
PSB,07730,60.65,2103802,DOM PEDRO,MA,4. bom
AVANTE,07730,33.86,2103802,DOM PEDRO,MA,2. ruim
PSB,07730,60.65,2103802,DOM PEDRO,MA,4. bom
PT,07730,73.72,2103802,DOM PEDRO,MA,4. bom
PRD,07730,20.83,2103802,DOM PEDRO,MA,1. péssimo
PRD,07730,20.83,2103802,DOM PEDRO,MA,1. péssimo
AVANTE,07730,33.86,2103802,DOM PEDRO,MA,2. ruim
PSB,07730,60.65,2103802,DOM PEDRO,MA,4. bom
PC do B,07730,94.23,2103802,DOM PEDRO,MA,5. ótimo
PSB,07730,60.65,2103802,DOM PEDRO,MA,4. bom
UNIÃO,07773,15.68,2104008,ESPERANTINOPOLIS,MA,1. péssimo
UNIÃO,07773,15.68,2104008,ESPERANTINOPOLIS,MA,1. péssimo
UNIÃO,07773,15.68,2104008,ESPERANTINOPOLIS,MA,1. péssimo
UNIÃO,07773,15.68,2104008,ESPERANTINOPOLIS,MA,1. péssimo
UNIÃO,07773,15.68,2104008,ESPERANTINOPOLIS,MA,1. péssimo
UNIÃO,07773,15.68,2104008,ESPERANTINOPOLIS,MA,1. péssimo
PV,07773,64.62,2104008,ESPERANTINOPOLIS,MA,4. bom
UNIÃO,07773,15.68,2104008,ESPERANTINOPOLIS,MA,1. péssimo
UNIÃO,07773,15.68,2104008,ESPERANTINOPOLIS,MA,1. péssimo
PV,07773,64.62,2104008,ESPERANTINOPOLIS,MA,4. bom
UNIÃO,07773,15.68,2104008,ESPERANTINOPOLIS,MA,1. péssimo
PRD,09636,20.83,2104057,ESTREITO,MA,1. péssimo
PSB,09636,60.65,2104057,ESTREITO,MA,4. bom
PL,09636,7.85,2104057,ESTREITO,MA,1. péssimo
MDB,09636,17.41,2104057,ESTREITO,MA,1. péssimo
PRD,09636,20.83,2104057,ESTREITO,MA,1. péssimo
PL,09636,7.85,2104057,ESTREITO,MA,1. péssimo
PSD,09636,23.02,2104057,ESTREITO,MA,1. péssimo
PSD,09636,23.02,2104057,ESTREITO,MA,1. péssimo
PT,09636,73.72,2104057,ESTREITO,MA,4. bom
PL,09636,7.85,2104057,ESTREITO,MA,1. péssimo
MDB,09636,17.41,2104057,ESTREITO,MA,1. péssimo
MDB,09636,17.41,2104057,ESTREITO,MA,1. péssimo
PL,09636,7.85,2104057,ESTREITO,MA,1. péssimo
PDT,07528,56.75,2104073,FEIRA NOVA DO MARANHAO,MA,3. regular
UNIÃO,07528,15.68,2104073,FEIRA NOVA DO MARANHAO,MA,1. péssimo
UNIÃO,07528,15.68,2104073,FEIRA NOVA DO MARANHAO,MA,1. péssimo
PSD,07528,23.02,2104073,FEIRA NOVA DO MARANHAO,MA,1. péssimo
PDT,07528,56.75,2104073,FEIRA NOVA DO MARANHAO,MA,3. regular
PSD,07528,23.02,2104073,FEIRA NOVA DO MARANHAO,MA,1. péssimo
PSD,07528,23.02,2104073,FEIRA NOVA DO MARANHAO,MA,1. péssimo
UNIÃO,07528,15.68,2104073,FEIRA NOVA DO MARANHAO,MA,1. péssimo
PDT,07528,56.75,2104073,FEIRA NOVA DO MARANHAO,MA,3. regular
PDT,07544,56.75,2104081,FERNANDO FALCAO,MA,3. regular
PDT,07544,56.75,2104081,FERNANDO FALCAO,MA,3. regular
PDT,07544,56.75,2104081,FERNANDO FALCAO,MA,3. regular
PDT,07544,56.75,2104081,FERNANDO FALCAO,MA,3. regular
PDT,07544,56.75,2104081,FERNANDO FALCAO,MA,3. regular
PDT,07544,56.75,2104081,FERNANDO FALCAO,MA,3. regular
PP,07544,16.94,2104081,FERNANDO FALCAO,MA,1. péssimo
PP,07544,16.94,2104081,FERNANDO FALCAO,MA,1. péssimo
PDT,07544,56.75,2104081,FERNANDO FALCAO,MA,3. regular
PSDB,07560,15.21,2104099,FORMOSA DA SERRA NEGRA,MA,1. péssimo
PL,07560,7.85,2104099,FORMOSA DA SERRA NEGRA,MA,1. péssimo
MDB,07560,17.41,2104099,FORMOSA DA SERRA NEGRA,MA,1. péssimo
PL,07560,7.85,2104099,FORMOSA DA SERRA NEGRA,MA,1. péssimo
PL,07560,7.85,2104099,FORMOSA DA SERRA NEGRA,MA,1. péssimo
MDB,07560,17.41,2104099,FORMOSA DA SERRA NEGRA,MA,1. péssimo
MDB,07560,17.41,2104099,FORMOSA DA SERRA NEGRA,MA,1. péssimo
PL,07560,7.85,2104099,FORMOSA DA SERRA NEGRA,MA,1. péssimo
MDB,07560,17.41,2104099,FORMOSA DA SERRA NEGRA,MA,1. péssimo
CIDADANIA,07560,42.14,2104099,FORMOSA DA SERRA NEGRA,MA,2. ruim
PL,07560,7.85,2104099,FORMOSA DA SERRA NEGRA,MA,1. péssimo
PODE,07790,20.7,2104107,FORTALEZA DOS NOGUEIRAS,MA,1. péssimo
REPUBLICANOS,07790,14.1,2104107,FORTALEZA DOS NOGUEIRAS,MA,1. péssimo
REPUBLICANOS,07790,14.1,2104107,FORTALEZA DOS NOGUEIRAS,MA,1. péssimo
MDB,07790,17.41,2104107,FORTALEZA DOS NOGUEIRAS,MA,1. péssimo
REPUBLICANOS,07790,14.1,2104107,FORTALEZA DOS NOGUEIRAS,MA,1. péssimo
PODE,07790,20.7,2104107,FORTALEZA DOS NOGUEIRAS,MA,1. péssimo
AVANTE,07790,33.86,2104107,FORTALEZA DOS NOGUEIRAS,MA,2. ruim
REPUBLICANOS,07790,14.1,2104107,FORTALEZA DOS NOGUEIRAS,MA,1. péssimo
MDB,07790,17.41,2104107,FORTALEZA DOS NOGUEIRAS,MA,1. péssimo
PDT,07811,56.75,2104206,FORTUNA,MA,3. regular
PDT,07811,56.75,2104206,FORTUNA,MA,3. regular
