projeto_responsavel,natureza,valor_do_projeto,valor_do_apoio,local,situacao,organizacao,url_proj,data_da_aprovacao,data_da_contratacao,data_da_conclusao
Incubadora de Políticas Públicas da Amazônia Universidade Federal do Pará (UFPA) e Fundação de Amparo e Desenvolvimento da Pesquisa (Fadesp),Universidades,2704084.9,2660567.23,"AC, AP, AM, MA, MT, PA, RO, RR, TO",concluido,Universidade Federal do Pará (UFPA) e Fundação de Amparo e Desenvolvimento da Pesquisa (Fadesp),https://www.fundoamazonia.gov.br/pt/projeto/Incubadora-de-Politicas-Publicas-da-Amazonia/,2011-08-02,2011-12-09,2016-06-30
Semas Pará Estado do Pará,Estados,15923230,15923230,PA,concluido,Estado do Pará,https://www.fundoamazonia.gov.br/pt/projeto/Semas-Para/,2010-07-09,2010-10-06,2017-03-31
Olhos d`Água da Amazônia - Fase II Município de Alta Floresta,Municípios,7597201.04,7146563.54,MT,concluido,Município de Alta Floresta ,https://www.fundoamazonia.gov.br/pt/projeto/Olhos-dAgua-da-Amazonia-Fase-II/,2013-06-11,2013-09-05,2018-06-30
Nascentes do Buriti Município de Carlinda,Municípios,1947277.8800000001,1875500.94,MT,concluido,Município de Carlinda,https://www.fundoamazonia.gov.br/pt/projeto/Nascentes-do-Buriti/,2011-08-02,2011-09-06,2020-05-08
Recupera Marcelândia Município de Marcelândia,Municípios,554215.22,551556.98,MT,concluido,Município de Marcelândia ,https://www.fundoamazonia.gov.br/pt/projeto/Recupera-Marcelandia/,2010-11-23,2011-05-24,2017-03-31
Olhos d`Água da Amazônia Município de Alta Floresta,Municípios,2781340.4,2781340.4,MT,concluido,Município de Alta Floresta,https://www.fundoamazonia.gov.br/pt/projeto/Olhos-dAgua-da-Amazonia/,2010-08-17,2011-01-25,2013-12-31
Preservar Porto dos Gaúchos Município de Porto dos Gaúchos,Municípios,120655,120655,MT,concluido,Município de Porto dos Gaúchos ,https://www.fundoamazonia.gov.br/pt/projeto/Preservar-Porto-dos-Gauchos/,2011-03-23,2011-08-12,2013-12-31
Sociobiodiversidade Produtiva no Xingu Instituto Socioambiental (ISA),Terceiro Setor,8915396,8023856,"MT, PA",concluido,Instituto Socioambiental (ISA),https://www.fundoamazonia.gov.br/pt/projeto/Sociobiodiversidade-Produtiva-no-Xingu/,2013-12-03,2014-02-20,2019-03-30
Gestão das Terras Indígenas das Bacias do Rio Negro e Xingu Instituto Socioambiental (ISA),Terceiro Setor,12302481.9,11685843.139999999,"AM, MT, RR",concluido,Instituto Socioambiental (ISA),https://www.fundoamazonia.gov.br/pt/projeto/Gestao-das-Terras-Indigenas-das-Bacias-do-Rio-Negro-e-Xingu/,2016-06-27,2016-08-19,2022-10-28
Sentinelas da Floresta Cooperativa dos Agricultores do Vale do Amanhecer (Coopavam),Terceiro Setor,6528000,5175522.5,MT,concluido,Cooperativa dos Agricultores do Vale do Amanhecer (Coopavam),https://www.fundoamazonia.gov.br/pt/projeto/Sentinelas-da-Floresta/,2014-02-04,2014-04-17,2018-09-30
Cadeias de Valor em Terras Indígenas no Acre Comissão Pró Índio do Acre (CPI-Acre),Terceiro Setor,3091111.21,3091111.21,AC,concluido,Comissão Pró Índio do Acre (CPI-Acre),https://www.fundoamazonia.gov.br/pt/projeto/Cadeias-de-Valor-em-Terras-Indigenas-no-Acre/,2015-08-11,2015-12-29,2019-06-30
Proteção Florestal Tocantins Estado do Tocantins - Corpo de Bombeiros Militar do Estado do Tocantins (CBMTO),Estados,6697880,4958910,TO,concluido,Estado do Tocantins - Corpo de Bombeiros Militar do Estado do Tocantins (CBMTO),https://www.fundoamazonia.gov.br/pt/projeto/Protecao-Florestal-Tocantins/,2012-03-27,2012-08-09,2019-05-17
Pará Combatendo os Incêndios Florestais e Queimadas Não Autorizadas Estado do Pará - Corpo de Bombeiros Militar do Estado do Pará (CBMPA),Estados,23469023.55,16830280,PA,concluido,Estado do Pará - Corpo de Bombeiros Militar do Estado do Pará (CBMPA),https://www.fundoamazonia.gov.br/pt/projeto/Para-Combatendo-os-Incendios-Florestais-e-Queimadas-Nao-Autorizadas/,2012-11-27,2013-06-26,2020-03-30
Bombeiros Florestais de Mato Grosso Estado de Mato Grosso - Corpo de Bombeiros do Estado de Mato Grosso (CBMMT),Estados,16742500,12518230.09,MT,concluido,Estado de Mato Grosso - Corpo de Bombeiros do Estado de Mato Grosso (CBMMT),https://www.fundoamazonia.gov.br/pt/projeto/Bombeiros-Florestais-de-Mato-Grosso/,2011-09-13,2012-01-17,2017-03-31
Rondônia Mais Verde Estado de Rondônia - Corpo de Bombeiros do Estado de Rondônia (CBMRO),Estados,17357458.36,15040500,RO,concluido,Estado de Rondônia - Corpo de Bombeiros do Estado de Rondônia (CBMRO),https://www.fundoamazonia.gov.br/pt/projeto/Rondonia-Mais-Verde/,2012-09-11,2012-12-21,2021-09-30
Acre: Incêndios Florestais Zero Estado do Acre - Corpo de Bombeiros Militar do Estado do Acre (CBMAC),Estados,13337700,13280709.56,AC,concluido,Estado do Acre - Corpo de Bombeiros Militar do Estado do Acre (CBMAC),https://www.fundoamazonia.gov.br/pt/projeto/Acre-Incendios-Florestais-Zero/,2012-05-08,2012-07-05,2016-12-31
Nova Cartografia Social na Amazônia Universidade do Estado do Amazonas (UEA) e Fundação de Apoio Institucional Muraki,Universidades,4614587.03,4614587.03,"AC, AP, AM, MA, MT, PA, RO, RR, TO",concluido,Universidade do Estado do Amazonas (UEA) e Fundação de Apoio Institucional Muraki,https://www.fundoamazonia.gov.br/pt/projeto/Nova-Cartografia-Social-na-Amazonia/,2010-11-30,2011-05-06,2015-03-31
Compostos Bioativos da Amazônia Universidade Federal do Pará (UFPA) e Fundação de Amparo e Desenvolvimento da Pesquisa (Fadesp),Universidades,1413357,1352368.48,PA,concluido,Universidade Federal do Pará (UFPA) e Fundação de Amparo e Desenvolvimento da Pesquisa  (Fadesp),https://www.fundoamazonia.gov.br/pt/projeto/Compostos-Bioativos-da-Amazonia/,2012-01-03,2012-08-21,2018-03-31
Biodiversidade Universidade Federal do Pará (UFPA) e Fundação de Amparo e Desenvolvimento da Pesquisa (Fadesp),Universidades,4639706.98,4639706.98,PA,concluido,Universidade Federal do Pará (UFPA)  e Fundação de Amparo e Desenvolvimento da Pesquisa (Fadesp),https://www.fundoamazonia.gov.br/pt/projeto/Biodiversidade/,2012-04-24,2012-10-02,2018-03-31
"Jacundá, Município de Economia Verde Município de Jacundá",Municípios,199352.05,199352.05,PA,concluido,Município de Jacundá,https://www.fundoamazonia.gov.br/pt/projeto/Jacunda-Municipio-de-Economia-Verde/,2011-11-29,2012-08-31,2019-09-30
Cadeias de Valor de Produtos Florestais Não Madeireiros Associação SOS Amazônia,Terceiro Setor,10202517.05,9938777,"AC, AM",concluido,Associação SOS Amazônia,https://www.fundoamazonia.gov.br/pt/projeto/Cadeias-de-Valor-de-Produtos-Florestais-Nao-Madeireiros/,2015-01-27,2015-05-13,2021-12-31
Valorização do Ativo Ambiental Florestal Estado do Acre,Estados,59654981.64,52930867.68,AC,concluido,Estado do Acre,https://www.fundoamazonia.gov.br/pt/projeto/Valorizacao-do-Ativo-Ambiental-Florestal/,2010-10-26,2010-11-19,2021-11-29
Semeando Novos Rumos em Cotriguaçu Município de Cotriguaçu,Municípios,1638897.1900000002,1567845.25,MT,concluido,Município de Cotriguaçu ,https://www.fundoamazonia.gov.br/pt/projeto/Semeando-Novos-Rumos-em-Cotriguacu/,2014-07-22,2014-12-02,2020-09-21
ProAmazon - Projeto de Combate a Incêndios e Desmatamento no Amazonas Estado do Amazonas - Corpo de Bombeiros Militar do Amazonas (CBMAM),Estados,45000000,45000000,AM,contratado,Estado do Amazonas - Corpo de Bombeiros Militar do Amazonas (CBMAM),https://www.fundoamazonia.gov.br/pt/projeto/ProAmazon-Projeto-de-Combate-a-Incendios-e-Desmatamento-no-Amazonas/,2024-09-24,2024-12-05,NA
CAR Mato Grosso do Sul Instituto de Meio Ambiente do Mato Grosso do Sul (Imasul),Estados,5341785.98,4575359.3,MS,concluido,Instituto de Meio Ambiente do Mato Grosso do Sul (Imasul),https://www.fundoamazonia.gov.br/pt/projeto/CAR-Mato-Grosso-do-Sul/,2014-09-23,2014-12-02,2022-11-29
Floresta de Babaçu em Pé Associação do Movimento Interestadual das Quebradeiras de Coco Babaçu (AMIQCB),Terceiro Setor,9222739,9222739,"MA, PA, TO",contratado,Associação do Movimento Interestadual das Quebradeiras de Coco Babaçu (AMIQCB),https://www.fundoamazonia.gov.br/pt/projeto/Floresta-de-Babacu-em-Pe/,2017-12-27,2018-04-05,NA
