projeto_responsavel,natureza,valor_do_projeto,valor_do_apoio,local,situacao,organizacao,url_proj,data_da_aprovacao,data_da_contratacao,data_da_conclusao
Rondônia Mais Verde - Fase II Estado de Rondônia - Corpo de Bombeiros do Estado de Rondônia (CBMRO),Estados,34074785.339999996,34074785.339999996,RO,contratado,Estado de Rondônia - Corpo de Bombeiros do Estado de Rondônia (CBMRO),https://www.fundoamazonia.gov.br/pt/projeto/Rondonia-Mais-Verde-Fase-II/,2023-11-24,2024-02-26,NA
Monitoramento da Cobertura Florestal na Amazônia Regional Organização do Tratado de Cooperação Amazônica (OTCA),Internacionais,27670630,23693641,INTL,contratado,Organização do Tratado de Cooperação Amazônica (OTCA),https://www.fundoamazonia.gov.br/pt/projeto/Monitoramento-da-Cobertura-Florestal-na-Amazonia-Regional/,2013-04-30,2013-10-03,NA
Agroecologia em Rede Instituto de Pesquisas Ecológicas (IPÊ),Terceiro Setor,20162650,20162650,AM,contratado,Instituto de Pesquisas Ecológicas (IPÊ),https://www.fundoamazonia.gov.br/pt/projeto/Agroecologia-em-Rede/,2023-08-17,2023-11-08,NA
Amazônia Socioambiental Instituto Socioambiental (ISA),Terceiro Setor,38834744.64,38834744.64,"AM, MT, PA, RR",contratado,Instituto Socioambiental (ISA),https://www.fundoamazonia.gov.br/pt/projeto/Amazonia-Socioambiental/,2023-12-28,2024-02-28,NA
Planos Amas – Amazônia: Segurança e Soberania Ministério da Justiça e Segurança Pública (MJSP),União,318523374.39,318523374.39,"AC, AP, AM, MA, MT, PA, RO, RR, TO",contratado,Ministério da Justiça e Segurança Pública (MJSP),https://www.fundoamazonia.gov.br/pt/projeto/Planos-Amas-Amazonia-Seguranca-e-Soberania/,2023-12-21,2024-06-17,NA
Consolidando a Gestão Territorial e Ambiental em Terras Indígenas Centro de Trabalho Indigenista (CTI),Terceiro Setor,11858546.84,11858546.84,"AM, MA, PA",concluido,Centro de Trabalho Indigenista (CTI),https://www.fundoamazonia.gov.br/pt/projeto/Consolidando-a-Gestao-Territorial-e-Ambiental-em-Terras-Indigenas/,2016-09-28,2017-02-24,2023-03-02
CAR Roraima Fundação Estadual do Meio Ambiente e Recursos Hídricos de Roraima (Femarh),Estados,1490055.1,1414308.37,RR,concluido,Fundação Estadual do Meio Ambiente e Recursos Hídricos de Roraima (Femarh),https://www.fundoamazonia.gov.br/pt/projeto/CAR-Roraima/,2014-11-04,2016-06-29,2022-08-18
Pacto da Floresta Pacto das Águas - Elaboração e Desenvolvimento de Projetos Socioambientais,Terceiro Setor,8700000,8607999.88,RO,contratado,Pacto das Águas - Elaboração e Desenvolvimento de Projetos Socioambientais ,https://www.fundoamazonia.gov.br/pt/projeto/Pacto-da-Floresta/,2018-06-13,2018-08-14,NA
"Monitoramento Ambiental dos Biomas Brasileiros Fundação de Ciência, Aplicações e Tecnologia Espaciais (Funcate) e Instituto Nacional de Pesquisas Espaciais (Inpe)",União,49778000,49778000,"AC, AP, AM, MA, MT, PA, RO, RR, , TO",contratado,"Fundação de Ciência, Aplicações e Tecnologia Espaciais (Funcate) e Instituto Nacional de Pesquisas Espaciais (Inpe) ",https://www.fundoamazonia.gov.br/pt/projeto/Monitoramento-Ambiental-dos-Biomas-Brasileiros/,2017-09-25,2018-01-09,NA
Calha Norte Sustentável Instituto de Manejo e Certificação Florestal e Agrícola (Imaflora),Terceiro Setor,3312877,3312877,PA,concluido,Instituto de Manejo e Certificação Florestal e Agrícola (Imaflora),https://www.fundoamazonia.gov.br/pt/projeto/Calha-Norte-Sustentavel/,2014-08-26,2014-10-29,2023-11-28
Gestão Territorial Indígena no Sul do Amazonas Instituto Internacional de Educação do Brasil (IEB),Terceiro Setor,11448505,11042796.11,AM,contratado,Instituto Internacional de Educação do Brasil (IEB),https://www.fundoamazonia.gov.br/pt/projeto/Gestao-Territorial-Indigena-no-Sul-do-Amazonas/,2016-11-01,2016-12-26,NA
Programa Municípios Verdes Estado do Pará,Estados,59454416.37,45591647.24,PA,contratado,Estado do Pará,https://www.fundoamazonia.gov.br/pt/projeto/Programa-Municipios-Verdes/,2013-12-10,2014-05-26,NA
Prevfogo / Ibama Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama),União,14717270,14600323.629999999,"AC, AP, AM, MA, MT, PA, RO, RR, TO",concluido,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama)  ,https://www.fundoamazonia.gov.br/pt/projeto/Prevfogo---Ibama/,2013-12-30,2014-06-05,2023-06-06
