"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.2. Formação Savânica (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","3.2. Agricultura (2022)","3.2.1. Lavoura Temporária (2022)","3.2.1.5. Outras Lavouras Temporárias (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (1985)","5484.305897746553","","","","2.679787841796875","","","379.2076244044405","","","","","3.6623547485351575","","5869.855664741324"
"1.1. Formação Florestal (1985)","","4794.366019252259","","","","","","","290.25856153940225","4.3769456359863295","4.3769456359863295","4.3769456359863295","","2.9477290344238294","5100.703146734043"
"1.2. Formação Savânica (1985)","","","76.33887768861075","","","","","","68.49348705327067","1.250538916015625","1.250538916015625","1.250538916015625","","","148.58398148992825"
"1.4. Floresta Alagável (1985)","","","","613.6010008056825","","2.679787841796875","","","14.828091259765634","","","","","0.7146257141113282","631.8235056213563"
"2. Formação Natural não Florestal (1985)","9.825995434570302","","","","341.34827971466507","","","720.6011795539582","","","","","9.289858807373047","","1081.0653135105667"
"2.1. Campo Alagado e Área Pantanosa (1985)","","6.163595373535146","","2.3224898071289064","","120.02343009176808","3.7447042470894587","","3.751704772949221","","","","","3.394391967773438","139.40031626024424"
"2.2. Formação Campestre (1985)","","1.3399102539062495","","","","7.503347027587888","210.07679834821968","","694.5423707168575","22.30710406415156","22.30710406415156","22.30710406415156","","5.895466839599608","986.2792053786255"
"3. Agropecuária (1985)","365.4438056033116","","","","14.024309350585936","","","597.4674729258782","","","","","","","976.9355878797758"
"3.1. Pastagem (1985)","","338.6855562969343","0.8932617065429688","25.86498759983435","","","14.024309350585936","","580.1379939891106","17.329478936767554","17.329478936767554","17.329478936767554","","","1011.594545753311"
"5. Corpo D`água (1985)","29.27295425209194","","","","55.170202353587484","","","0.5359552612304688","","","","","871.6069152765984","","956.5860271435083"
"5.1. Rio, Lago e Oceano (1985)","","24.624124315281275","","4.648829936810665","","31.23913254337093","23.931069810216556","","0.5359552612304688","","","","","871.6069152765984","956.5860271435083"
"Total (1985)","5888.848653036526","5165.179205491915","77.23213939515372","646.4373081494564","413.22257926063537","161.44569750452376","251.7768817561116","1697.812232145507","1652.548164592586","45.26406755292106","45.26406755292106","45.26406755292106","884.5591288325066","884.5591288325066","17859.413321656193"
