"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.2. Formação Savânica (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","2.4. Afloramento Rochoso (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","Total (2022)"
"1. Floresta (1985)","1128.0194089052484","","","","0.5189394287109375","","","","332.24539249066515","","1460.7837408246244"
"1.1. Formação Florestal (1985)","","653.0887243715554","","","","","0.5189394287109375","","","298.02982342857206","951.6374872288384"
"1.2. Formação Savânica (1985)","","","474.4980505798356","","","","","","","34.215569062093124","508.71361964192874"
"1.4. Floresta Alagável (1985)","","","","0.43263395385742187","","","","","","","0.43263395385742187"
"2. Formação Natural não Florestal (1985)","22.400051820211953","","","","6269.77979528263","","","","579.2586594321135","","6871.438506534956"
"2.1. Campo Alagado e Área Pantanosa (1985)","","","18.861790979003885","","","6.0563576171874995","2.422592156982422","","","","27.340740753173808"
"2.2. Formação Campestre (1985)","","2.6733809217744717","0.8648799194335937","","","0.804233602031633","1846.6240643495119","1.644169610595703","","579.2586594321135","2431.8693878354607"
"2.4. Afloramento Rochoso (1985)","","","","","","","","4412.228377946321","","","4412.228377946321"
"3. Agropecuária (1985)","10.55885833979588","","","","","","","","35.812114401879406","","46.37097274167529"
"3.1. Pastagem (1985)","","5.885783706006818","4.673074633789062","","","","","","","35.812114401879406","46.37097274167529"
"Total (1985)","1160.9783190652563","661.6478889993366","498.8977961120621","0.43263395385742187","6270.298734711341","6.860591219219133","1849.5655959352052","4413.872547556917","947.3161663246581","947.3161663246581","16757.186440202513"
