"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.2. Formação Savânica (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","2.4. Afloramento Rochoso (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","3.2. Agricultura (2022)","3.2.1. Lavoura Temporária (2022)","3.2.1.5. Outras Lavouras Temporárias (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (2012)","960867.7393019475","","","","17.247813732910156","","","","2669.103270380067","","","","","152.8190125893267","","963706.9093986498"
"1.1. Formação Florestal (2012)","","960058.4176353912","1.0617672485351564","","","1.9494486938476563","11.143298840332031","","","2598.834050928163","54.528815496826155","54.528815496826155","54.528815496826155","","152.1986397011431","962987.1912872938"
"1.2. Formação Savânica (2012)","","","291.5275030789722","","","1.4142324218749998","1.5910182373046877","","","15.740403955078126","","","","","","310.27315769323"
"1.4. Floresta Alagável (2012)","","","","516.732396228793","","1.1498155395507814","","","","","","","","","0.6203728881835937","518.5025846565275"
"2. Formação Natural não Florestal (2012)","9.64395652250402","","","","7072.685541932439","","","","527.9412862524894","","","","","19.131504418945315","","7629.402289126378"
"2.1. Campo Alagado e Área Pantanosa (2012)","","5.490685886517692","","","","870.5831057837154","100.86793692035758","","","1.5044022888183597","","","","","16.826656036376956","995.2727869157859"
"2.2. Formação Campestre (2012)","","3.268752935791016","0.8845177001953126","","","79.06076298828123","5594.887797903904","","","512.9802391418458","13.456644821825211","13.456644821825211","13.456644821825211","","2.30484838256836","6233.7568535180635"
"2.4. Afloramento Rochoso (2012)","","","","","","","","427.2859383361802","","","","","","","","427.2859383361802"
"3. Agropecuária (2012)","983.07574089116","","","","5.532378473833871","","","","2362.7857538380254","","","","","","","3351.393873203019"
"3.1. Pastagem (2012)","","982.2800648901834","0.7956760009765627","","","","5.532378473833871","","","2249.3503849720582","85.68371926269572","85.68371926269572","85.68371926269572","","","3495.0096621251396"
"3.2. Agricultura (2012)","","","","","","","","","","","27.7516496032715","","","","","27.7516496032715"
"3.2.1. Lavoura Temporária (2012)","","","","","","","","","","","","27.7516496032715","","","","27.7516496032715"
"3.2.1.5. Outras Lavouras Temporárias (2012)","","","","","","","","","","","","","27.7516496032715","","","27.7516496032715"
"5. Corpo D`água (2012)","46.86385532937443","","","","24.374217944335943","","","","","","","","","7735.786046329751","","7807.024119603461"
"5.1. Rio, Lago e Oceano (2012)","","46.332096814970136","","0.5317585144042968","","12.052473468017585","12.321744476318358","","","","","","","","7735.786046329751","7807.024119603461"
"Total (2012)","961907.3228546905","961095.7892359187","294.26946402867924","517.2641547431973","7119.839952083519","966.2098388952877","5726.344174852051","427.2859383361802","5559.830310470581","5378.409481285963","181.42082918461855","181.42082918461855","181.42082918461855","7907.736563338023","7907.736563338023","1965352.301019534"
