"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (1985)","6166.047191054504","","","6.0684297607421875","","","1590.2904454464294","","62.275446157130894","","7824.681512418807"
"1.1. Formação Florestal (1985)","","3497.3052882307306","","","","1.69562353515625","","1424.9253536007266","","17.785869491684856","4941.712134858299"
"1.4. Floresta Alagável (1985)","","","2668.7419028237728","","4.372806225585937","","","165.36509184570278","","44.48957666544604","2882.9693775605074"
"2. Formação Natural não Florestal (1985)","108.83520460750819","","","3703.1790981688073","","","479.28360279641583","","2663.3473413470842","","6954.645246919816"
"2.1. Campo Alagado e Área Pantanosa (1985)","","6.562400736179722","102.27280387132846","","2891.1368740335383","94.20020446947291","","43.817229406738235","","2117.47199413644","5255.461506653697"
"2.2. Formação Campestre (1985)","","","","","107.69292003724335","610.149099628553","","435.4663733896776","","545.8753472106442","1699.183740266118"
"3. Agropecuária (1985)","1013.9887793593701","","","317.9239956327558","","","1178.4198226547958","","4.551522839355467","","2514.884120486277"
"3.1. Pastagem (1985)","","662.2333876819079","351.7553916774623","","57.75989871014783","260.164096922608","","1178.4198226547958","","4.551522839355467","2514.8841204862774"
"5. Corpo D`água (1985)","13.177444297688798","","","65.50921572076535","","","","","7404.984410160141","","7483.671070178595"
"5.1. Rio, Lago e Oceano (1985)","","6.662738017171217","6.514706280517581","","50.40462733106427","15.104588389701087","","","","7404.984410160141","7483.671070178595"
"Total (1985)","7302.04861931907","4172.763814665989","3129.284804653081","4092.6807392830706","3111.3671263375795","981.3136129454913","3247.9938708976415","3247.9938708976415","10135.158720503712","10135.158720503712","49555.76390000698"
