"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.2. Formação Savânica (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","3.2. Agricultura (2022)","3.2.1. Lavoura Temporária (2022)","3.2.1.5. Outras Lavouras Temporárias (2022)","3.4. Mosaico de Usos (2022)","4. Área não Vegetada (2022)","4.4. Outras Áreas não Vegetadas (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (1985)","45012.538120427336","","","7.257469635009768","","","126.62912195384284","","","","","","5.333763537597658","","","","45151.75847555379"
"1.1. Formação Florestal (1985)","","43689.03671035278","489.14853316040194","","2.9729386840820324","4.284530950927736","","123.95941533614791","2.6697066176949296","2.6697066176949296","2.6697066176949296","","","5.333763537597658","","","44322.74501187503"
"1.2. Formação Savânica (1985)","","9.530413171386723","824.8224637427656","","","","","","","","","","","","","","834.3528769141524"
"2. Formação Natural não Florestal (1985)","2.0984513305664065","","","","","","","","","","","","","","","","2.0984513305664065"
"2.1. Campo Alagado e Área Pantanosa (1985)","","2.0984513305664065","","","","","","","","","","","","","","","2.0984513305664065"
"3. Agropecuária (1985)","19.236383544921875","","","","","","16.68367673133999","","","","","","3.14777470703125","","","","39.06783498329312"
"3.1. Pastagem (1985)","","1.748770166015625","1.7487667114257814","","","","","4.29767627003389","0.23208766223383887","0.23208766223383887","0.23208766223383887","","","","","","8.491476134176814"
"3.4. Mosaico de Usos (1985)","","12.765949407958985","2.9728972595214835","","","","","8.831266101074213","","","","3.3226466979980467","","3.14777470703125","","","31.040534173583975"
"5. Corpo D`água (1985)","1.0491526611328126","","","","","","","","","","","","","","5.449977539277919","","6.499130200410732"
"5.1. Rio, Lago e Oceano (1985)","","1.0491526611328126","","","","","","","","","","","","","","5.449977539277919","6.499130200410732"
"Total (1985)","45034.922107963954","43716.229447089834","1318.6926608741148","7.257469635009768","2.9729386840820324","4.284530950927736","143.31279868518283","137.08835770725602","2.9017942799287684","2.9017942799287684","2.9017942799287684","3.3226466979980467","8.481538244628908","8.481538244628908","5.449977539277919","5.449977539277919","90404.65137269598"
