"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","3.2. Agricultura (2022)","3.2.1. Lavoura Temporária (2022)","3.2.1.5. Outras Lavouras Temporárias (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (1985)","40900.42960101375","","","0.5358022033691406","","","1084.311300613461","","","","","0.5802671832873774","","41985.85697101386"
"1.1. Formação Florestal (1985)","","40608.31873994681","","","","0.5358022033691406","","1072.9119659351522","","","","","","41681.766508085326"
"1.4. Floresta Alagável (1985)","","","292.11086106694165","","","","","11.399334678308826","","","","","0.5802671832873774","304.0904629285379"
"2. Formação Natural não Florestal (1985)","39.58253555415129","","","44.87624855997718","","","1.2656297420247395","","","","","","","85.7244138561532"
"2.1. Campo Alagado e Área Pantanosa (1985)","","32.02331450247964","7.559221051671648","","36.867431176087585","4.258405720071231","","0.6251013793945313","","","","","","81.33347382970466"
"2.2. Formação Campestre (1985)","","","","","2.0537795471191402","1.6966321166992184","","0.6405283626302083","","","","","","4.3909400264485665"
"3. Agropecuária (1985)","45.880764695733866","","","","","","58.829914120088695","","","","","","","104.71067881582256"
"3.1. Pastagem (1985)","","45.880764695733866","","","","","","58.11551346090901","0.7144006591796875","0.7144006591796875","0.7144006591796875","","","106.13948013418194"
"5. Corpo D`água (1985)","36.582600813682404","","","18.804612318498197","","","1.2449268450568702","","","","","26.86876524823357","","83.50090522547104"
"5.1. Rio, Lago e Oceano (1985)","","16.54154642882104","20.04105438486137","","17.5544319290939","1.250180389404297","","1.2449268450568702","","","","","26.86876524823357","83.50090522547104"
"Total (1985)","41022.475502077315","40702.76436557385","319.7111365034747","64.21666308184452","56.47564265230063","7.741020429543887","1145.6517713206313","1144.9373706614515","0.7144006591796875","0.7144006591796875","0.7144006591796875","27.449032431520948","27.449032431520948","84521.014739141"
