estado,volume_restante
AL,334861642.0761975
AM,492083503.60640705
BA,5325958746.733626
CE,1119676897.6151395
ES,12603683337.659273
MA,11811252.2817368
PR,6289.8099999999995
RJ,150653082974.65646
RN,4424745939.417774
SE,5541798036.673408
SP,8813140948.75203
