ano,name,value
2023,consumo,1186250000
2023,reserva_1p,15894000000
2023,reserva_total,18222300000
2024,consumo,1211800000
2024,reserva_1p,14707750000
2024,reserva_total,17036050000
2025,consumo,1215450000
2025,reserva_1p,13495950000
2025,reserva_total,15824250000
2026,consumo,1222750000
2026,reserva_1p,12280500000
2026,reserva_total,14608800000
2027,consumo,1222750000
2027,reserva_1p,11057750000
2027,reserva_total,13386050000
2028,consumo,1226400000
2028,reserva_1p,9835000000
2028,reserva_total,12163300000
2029,consumo,1233700000
2029,reserva_1p,8608600000
2029,reserva_total,10936900000
2030,consumo,1237350000
2030,reserva_1p,7374900000
2030,reserva_total,9703200000
2031,consumo,1246344642.857144
2031,reserva_1p,6137550000
2031,reserva_total,8465850000
2032,consumo,1252297619.0476205
2032,reserva_1p,4891205357.142857
2032,reserva_total,7219505357.142857
2033,consumo,1258250595.2380967
2033,reserva_1p,3638907738.095236
2033,reserva_total,5967207738.095236
2034,consumo,1264203571.428573
2034,reserva_1p,2380657142.8571396
2034,reserva_total,4708957142.85714
2035,consumo,1270156547.619049
2035,reserva_1p,1116453571.428566
2035,reserva_total,3444753571.428566
2036,consumo,1276109523.8095253
2036,reserva_1p,-153702976.1904831
2036,reserva_total,2174597023.809517
2037,consumo,1282062500.0000014
2037,reserva_1p,-1429812500.0000076
2037,reserva_total,898487499.9999924
2038,consumo,1288015476.1904776
2038,reserva_1p,-2711875000.0000076
2038,reserva_total,-383575000.0000076
2039,consumo,1293968452.3809538
2039,reserva_1p,-3999890476.190487
2039,reserva_total,-1671590476.190487
2040,consumo,1299921428.57143
2040,reserva_1p,-5293858928.571442
2040,reserva_total,-2965558928.5714417
2041,consumo,1305874404.7619061
2041,reserva_1p,-6593780357.142872
2041,reserva_total,-4265480357.142872
2042,consumo,1311827380.9523823
2042,reserva_1p,-7899654761.904778
2042,reserva_total,-5571354761.904778
2043,consumo,1317780357.1428587
2043,reserva_1p,-9211482142.857159
2043,reserva_total,-6883182142.857159
2044,consumo,1323733333.333335
2044,reserva_1p,-10529262500.00002
2044,reserva_total,-8200962500.000019
2045,consumo,1329686309.523811
2045,reserva_1p,-11852995833.333355
2045,reserva_total,-9524695833.333355
2046,consumo,1335639285.7142873
2046,reserva_1p,-13182682142.857166
2046,reserva_total,-10854382142.857166
2047,consumo,1341592261.9047635
2047,reserva_1p,-14518321428.571453
2047,reserva_total,-12190021428.571453
2048,consumo,1347545238.0952396
2048,reserva_1p,-15859913690.476215
2048,reserva_total,-13531613690.476215
2049,consumo,1353498214.2857158
2049,reserva_1p,-17207458928.571457
2049,reserva_total,-14879158928.571457
2050,consumo,1359451190.476192
2050,reserva_1p,-18560957142.85717
2050,reserva_total,-16232657142.85717
