ano,name,value
2023,reserva_1p,15894000000
2023,reserva_total,18222300000
2023,consumo,733979799
2023,exportacao,581875783
2024,reserva_1p,14578144418
2024,reserva_total,16906444418
2024,consumo,716777147
2024,exportacao,568238069
2025,reserva_1p,13293129202
2025,reserva_total,15621429202
2025,consumo,699574496
2025,exportacao,554600356
2026,reserva_1p,12038954350
2026,reserva_total,14367254350
2026,consumo,682371844
2026,exportacao,540962642
2027,reserva_1p,10815619864
2027,reserva_total,13143919864
2027,consumo,647966541
2027,exportacao,513687215
2028,reserva_1p,9653966108
2028,reserva_total,11982266108
2028,consumo,630763890
2028,exportacao,500049501
2029,reserva_1p,8523152717
2029,reserva_total,10851452717
2029,consumo,613561238
2029,exportacao,486411787
2030,reserva_1p,7423179692
2030,reserva_total,9751479692
2030,consumo,596358587
2030,exportacao,472774074
2031,reserva_1p,6354047031
2031,reserva_total,8682347031
2031,consumo,579155935
2031,exportacao,445498646
2032,reserva_1p,5329392450
2032,reserva_total,7657692450
2032,consumo,561953284
2032,exportacao,431860933
2033,reserva_1p,4335578233
2033,reserva_total,6663878233
2033,consumo,544750632
2033,exportacao,404585505
2034,reserva_1p,3386242096
2034,reserva_total,5714542096
2034,consumo,510345329
2034,exportacao,390947792
2035,reserva_1p,2484948975
2035,reserva_total,4813248975
2035,consumo,493142677
2035,exportacao,377310078
2036,reserva_1p,1614496220
2036,reserva_total,3942796220
2036,consumo,475940026
2036,exportacao,350034651
2037,reserva_1p,788521543
2037,reserva_total,3116821543
2037,consumo,441534723
2037,exportacao,336396937
2038,reserva_1p,10589883
2038,reserva_total,2338889883
2038,consumo,424332071
2038,exportacao,322759224
2039,reserva_1p,-736501412
2039,reserva_total,1591798588
2039,consumo,407129420
2039,exportacao,309121510
2040,reserva_1p,-1452752342
2040,reserva_total,875547658
2040,consumo,372724117
2040,exportacao,295483796
2041,reserva_1p,-2120960255
2041,reserva_total,207339745
2041,consumo,355521465
2041,exportacao,281846083
2042,reserva_1p,-2758327803
2042,reserva_total,-430027803
2042,consumo,338318814
2042,exportacao,268208369
2043,reserva_1p,-3364854986
2043,reserva_total,-1036554986
2043,consumo,321116162
2043,exportacao,240932942
2044,reserva_1p,-3926904090
2044,reserva_total,-1598604090
2044,consumo,303913511
2044,exportacao,227295228
2045,reserva_1p,-4458112829
2045,reserva_total,-2129812829
2045,consumo,286710859
2045,exportacao,213657514
2046,reserva_1p,-4958481202
2046,reserva_total,-2630181202
2046,consumo,269508207
2046,exportacao,200019801
2047,reserva_1p,-5428009210
2047,reserva_total,-3099709210
2047,consumo,235102904
2047,exportacao,186382087
2048,reserva_1p,-5849494201
2048,reserva_total,-3521194201
2048,consumo,217900253
2048,exportacao,172744373
2049,reserva_1p,-6240138827
2049,reserva_total,-3911838827
2049,consumo,200697601
2049,exportacao,159106660
2050,reserva_1p,-6599943088
2050,reserva_total,-4271643088
2050,consumo,183494950
2050,exportacao,145468946
