ano,consumo,exportacao,reserva_1p,reserva_total
2023,733979799,581875783,15894000000,18222300000
2024,716777147,581875783,14578144418,16906444418
2025,699574496,581875783,13279491488,15607791488
2026,682371844,581875783,11998041209,14326341209
2027,647966541,581875783,10733793582,13062093582
2028,630763890,581875783,9503951258,11832251258
2029,613561238,581875783,8291311585,10619611585
2030,596358587,581875783,7095874564,9424174564
2031,579155935,581875783,5917640194,8245940194
2032,561953284,581875783,4756608476,7084908476
2033,544750632,581875783,3612779409,5941079409
2034,510345329,581875783,2486152994,4814452994
2035,493142677,581875783,1393931882,3722231882
2036,475940026,581875783,318913422,2647213422
2037,441534723,581875783,-738902387,1589397613
2038,424332071,581875783,-1762312893,565987107
2039,407129420,581875783,-2768520747,-440220747
2040,372724117,581875783,-3757525950,-1429225950
2041,355521465,581875783,-4712125850,-2383825850
2042,338318814,581875783,-5649523098,-3321223098
2043,321116162,581875783,-6569717695,-4241417695
2044,303913511,581875783,-7472709640,-5144409640
2045,286710859,581875783,-8358498934,-6030198934
2046,269508207,581875783,-9227085576,-6898785576
2047,235102904,581875783,-10078469566,-7750169566
2048,217900253,581875783,-10895448253,-8567148253
2049,200697601,581875783,-11695224289,-9366924289
2050,183494950,581875783,-12477797673,-10149497673
