ano,name,value
2023,consumo,733979799
2023,reserva_1p,15894000000
2023,reserva_total,18222300000
2024,consumo,716777147
2024,reserva_1p,15160020201
2024,reserva_total,17488320201
2025,consumo,699574496
2025,reserva_1p,14443243054
2025,reserva_total,16771543054
2026,consumo,682371844
2026,reserva_1p,13743668558
2026,reserva_total,16071968558
2027,consumo,647966541
2027,reserva_1p,13061296714
2027,reserva_total,15389596714
2028,consumo,630763890
2028,reserva_1p,12413330173
2028,reserva_total,14741630173
2029,consumo,613561238
2029,reserva_1p,11782566283
2029,reserva_total,14110866283
2030,consumo,596358587
2030,reserva_1p,11169005045
2030,reserva_total,13497305045
2031,consumo,579155935
2031,reserva_1p,10572646458
2031,reserva_total,12900946458
2032,consumo,561953284
2032,reserva_1p,9993490523
2032,reserva_total,12321790523
2033,consumo,544750632
2033,reserva_1p,9431537239
2033,reserva_total,11759837239
2034,consumo,510345329
2034,reserva_1p,8886786607
2034,reserva_total,11215086607
2035,consumo,493142677
2035,reserva_1p,8376441278
2035,reserva_total,10704741278
2036,consumo,475940026
2036,reserva_1p,7883298601
2036,reserva_total,10211598601
2037,consumo,441534723
2037,reserva_1p,7407358575
2037,reserva_total,9735658575
2038,consumo,424332071
2038,reserva_1p,6965823852
2038,reserva_total,9294123852
2039,consumo,407129420
2039,reserva_1p,6541491781
2039,reserva_total,8869791781
2040,consumo,372724117
2040,reserva_1p,6134362361
2040,reserva_total,8462662361
2041,consumo,355521465
2041,reserva_1p,5761638244
2041,reserva_total,8089938244
2042,consumo,338318814
2042,reserva_1p,5406116779
2042,reserva_total,7734416779
2043,consumo,321116162
2043,reserva_1p,5067797965
2043,reserva_total,7396097965
2044,consumo,303913511
2044,reserva_1p,4746681803
2044,reserva_total,7074981803
2045,consumo,286710859
2045,reserva_1p,4442768292
2045,reserva_total,6771068292
2046,consumo,269508207
2046,reserva_1p,4156057433
2046,reserva_total,6484357433
2047,consumo,235102904
2047,reserva_1p,3886549226
2047,reserva_total,6214849226
2048,consumo,217900253
2048,reserva_1p,3651446322
2048,reserva_total,5979746322
2049,consumo,200697601
2049,reserva_1p,3433546069
2049,reserva_total,5761846069
2050,consumo,183494950
2050,reserva_1p,3232848468
2050,reserva_total,5561148468
