ano,name,value
2023,consumo,1186250000
2023,exportacao,581875783
2023,reserva_1p,15894000000
2023,reserva_total,18222300000
2024,consumo,1211800000
2024,exportacao,533581357.08178747
2024,reserva_1p,14125874217
2024,reserva_total,16454174217
2025,consumo,1215450000
2025,exportacao,559019758.3824911
2025,reserva_1p,12380492859.918213
2025,reserva_total,14708792859.918213
2026,consumo,1222750000
2026,exportacao,584458159.6831948
2026,reserva_1p,10606023101.53572
2026,reserva_total,12934323101.53572
2027,consumo,1222750000
2027,exportacao,609896560.9838984
2027,reserva_1p,8798814941.852526
2027,reserva_total,11127114941.852526
2028,consumo,1226400000
2028,exportacao,635334962.2846022
2028,reserva_1p,6966168380.868628
2028,reserva_total,9294468380.868628
2029,consumo,1233700000
2029,exportacao,660773363.5853058
2029,reserva_1p,5104433418.584026
2029,reserva_total,7432733418.584026
2030,consumo,1237350000
2030,exportacao,686211764.8860095
2030,reserva_1p,3209960054.99872
2030,reserva_total,5538260054.99872
2031,consumo,1246344642.857144
2031,exportacao,711650166.1867131
2031,reserva_1p,1286398290.112711
2031,reserva_total,3614698290.112711
2032,consumo,1252297619.0476205
2032,exportacao,737088567.4874167
2032,reserva_1p,-671596518.9311466
2032,reserva_total,1656703481.0688534
2033,consumo,1258250595.2380967
2033,exportacao,762526968.7881205
2033,reserva_1p,-2660982705.4661827
2033,reserva_total,-332682705.4661827
2034,consumo,1264203571.428573
2034,exportacao,787965370.0888242
2034,reserva_1p,-4681760269.492401
2034,reserva_total,-2353460269.492401
2035,consumo,1270156547.619049
2035,exportacao,813403771.3895278
2035,reserva_1p,-6733929211.009796
2035,reserva_total,-4405629211.009796
2036,consumo,1276109523.8095253
2036,exportacao,838842172.6902314
2036,reserva_1p,-8817489530.018372
2036,reserva_total,-6489189530.018372
2037,consumo,1282062500.0000014
2037,exportacao,864280573.9909352
2037,reserva_1p,-10932441226.518127
2037,reserva_total,-8604141226.518127
2038,consumo,1288015476.1904776
2038,exportacao,889718975.2916389
2038,reserva_1p,-13078784300.509064
2038,reserva_total,-10750484300.509064
2039,consumo,1293968452.3809538
2039,exportacao,915157376.5923425
2039,reserva_1p,-15256518751.99118
2039,reserva_total,-12928218751.99118
2040,consumo,1299921428.57143
2040,exportacao,940595777.8930461
2040,reserva_1p,-17465644580.964478
2040,reserva_total,-15137344580.964478
2041,consumo,1305874404.7619061
2041,exportacao,966034179.1937498
2041,reserva_1p,-19706161787.428955
2041,reserva_total,-17377861787.428955
2042,consumo,1311827380.9523823
2042,exportacao,991472580.4944535
2042,reserva_1p,-21978070371.384613
2042,reserva_total,-19649770371.384613
2043,consumo,1317780357.1428587
2043,exportacao,1016910981.7951572
2043,reserva_1p,-24281370332.83145
2043,reserva_total,-21953070332.83145
2044,consumo,1323733333.333335
2044,exportacao,1042349383.0958608
2044,reserva_1p,-26616061671.76947
2044,reserva_total,-24287761671.76947
2045,consumo,1329686309.523811
2045,exportacao,1067787784.3965645
2045,reserva_1p,-28982144388.19867
2045,reserva_total,-26653844388.19867
2046,consumo,1335639285.7142873
2046,exportacao,1093226185.6972682
2046,reserva_1p,-31379618482.11905
2046,reserva_total,-29051318482.11905
2047,consumo,1341592261.9047635
2047,exportacao,1118664586.9979718
2047,reserva_1p,-33808483953.5306
2047,reserva_total,-31480183953.5306
2048,consumo,1347545238.0952396
2048,exportacao,1144102988.2986755
2048,reserva_1p,-36268740802.433334
2048,reserva_total,-33940440802.433334
2049,consumo,1353498214.2857158
2049,exportacao,1169541389.5993793
2049,reserva_1p,-38760389028.82725
2049,reserva_total,-36432089028.82725
2050,consumo,1359451190.476192
2050,exportacao,1194979790.9000828
2050,reserva_1p,-41283428632.71234
2050,reserva_total,-38955128632.71234
