"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","7824.681512418794","7830.918061324403","7837.9496635371725","7794.656566306758","7821.26408318768","7806.629558620084","7957.280124513081","7937.006107868798","7773.198187435291","7710.6792347118135","7954.902377755239","7953.927506991458","7933.781051078945","7943.693085723986","7807.3255053179655","8101.216393444598","8156.390976186663","8178.352844885701","8315.757716738415","8368.497738017704","8220.486387697734","8012.3597107753685","8012.745373560416","8103.435122512892","8023.180875008475","7978.109041808233","8089.38939981373","8052.080275335247","8067.350680601301","7874.8278780353685","7817.637406782505","7708.735940608358","7686.336008418654","7755.7524961279905","7741.871056171491","7659.463774600433","7384.925856839382","7328.919549052203"
"1.1. Formação Florestal","4941.71213485838","4911.915519792925","4876.706673189673","4850.149180590957","4839.881465181444","4825.605635534713","4895.069525484155","4902.776808844849","4856.746043313441","4823.301609923314","4938.000159869353","4940.5241560242475","4932.914046012029","4949.406218892424","4905.300441662594","5042.6086789421925","5056.753292738443","5050.767057146138","5116.719151117585","5135.074629079494","5032.791291581174","4892.25980564483","4880.720927139115","4940.921197896015","4877.437147643658","4833.1293621244","4925.599553417576","4895.3591421393985","4928.427532604858","4795.272338608354","4749.738738937395","4710.387789832641","4709.747707628907","4707.176370851417","4666.245872908201","4614.165075203737","4314.546555772372","4159.992302790891"
"1.2. Formação Savânica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","2882.969377560414","2919.0025415314785","2961.2429903474995","2944.5073857158","2981.3826180062365","2981.0239230853713","3062.2105990289265","3034.229299023948","2916.452144121851","2887.3776247884994","3016.902217885886","3013.4033509672113","3000.867005066916","2994.2868668315627","2902.0250636553715","3058.607714502405","3099.63768344822","3127.585787739564","3199.0385656208296","3233.4231089382106","3187.6950961165608","3120.0999051305384","3132.024446421301","3162.5139246168774","3145.743727364817","3144.979679683833","3163.7898463961533","3156.721133195849","3138.923147996443","3079.5555394270145","3067.89866784511","2998.3481507757165","2976.5883007897473","3048.576125276573","3075.6251832632897","3045.298699396696","3070.3793010670097","3168.9272462613126"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","6954.645246920087","7301.331784075795","7236.847117608024","6783.005482812758","6398.017453546992","6605.319639591654","6311.959873161302","7244.9829241377265","5612.8912129366645","5354.17002708326","6926.555908509518","5495.4317503231305","4787.83173530459","7023.622606908291","4608.280418100255","6174.976010411037","5829.106639797592","5442.210372241155","6209.599625836396","6218.46232281933","5952.694111438552","5612.208394904092","5271.371349664631","5195.788704307629","4699.995179441882","5960.560595629826","5593.084249418872","4914.173587071169","4358.786741185259","4532.143997242935","4440.484514078785","6514.4216035233485","4471.073156719941","5611.872527385718","5064.015712867469","5180.584130797773","5227.756048370122","3965.48951198648"
"2.1. Campo Alagado e Área Pantanosa","5255.461506654013","5783.998405750158","5687.653096679359","5545.511811408871","5273.9253812283405","5444.81370127428","5085.725284369538","5929.042846647835","4695.335373399609","4438.699821154314","5623.688649450157","4614.787533393497","3923.7765126037834","5920.820098590811","3728.06108518488","5207.464045160579","4876.4615656693","4556.319938568676","5371.834326333508","5403.512359244079","5210.452819390257","4910.556221153132","4536.696750001094","4462.715807926655","3918.365141783123","5212.7704846486","4896.936733916064","4183.947730792231","3533.06713411835","3735.0245888006193","3615.7783675385217","5675.825953455156","3615.9603902716326","4719.229352932716","4229.206699794521","4298.39055087513","3903.2925669339234","2937.300328529355"
"2.2. Formação Campestre","1699.183740266074","1517.3333783256378","1549.1940209286647","1237.4936714038863","1124.092072318652","1160.5059383173736","1226.234588791765","1315.9400774898913","917.5558395370552","915.4702059289456","1302.8672590593615","880.644216929633","864.0552227008069","1102.8025083174803","880.219332915375","967.5119652504577","952.6450741282919","885.8904336724787","837.7652995028876","814.949963575252","742.2412920482949","701.6521737509593","734.6745996635376","733.0728963809742","781.630037658759","747.7901109812253","696.1475155028078","730.2258562789387","825.719607066909","797.1194084423158","824.7061465402633","838.5956500681924","855.1127664483081","892.6431744530021","834.8090130729477","882.1935799226421","1324.463481436199","1028.1891834571252"
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Agropecuária","2514.884120486261","2458.6173659226115","2472.794164796122","2510.9875625502686","2597.0468374317747","2625.8796527186837","2365.74213429481","2376.806586207585","2531.521087803375","2596.4909909749726","2479.3043341164375","2503.657697004746","2455.7394830108706","2381.742736002194","2533.8798884691","2358.7737549250155","2309.707739551687","2328.9842813461014","2245.240797855819","2225.3015147351935","2375.8263428734717","2640.837655340096","2628.071928608689","2512.0935558583424","2523.6333798167448","2621.9544287634217","2535.3762357130813","2544.460335476048","2460.8822684844577","2620.3512756146906","2697.166491381306","2829.4104367651644","2832.5724618518984","2759.7228505378384","2764.2149593292106","2790.6187137210195","2567.0612863207766","3233.208729027477"
"3.1. Pastagem","2514.884120486261","2458.6173659226115","2472.794164796122","2510.9875625502686","2597.0468374317747","2625.8796527186837","2365.74213429481","2376.806586207585","2531.521087803375","2596.4909909749726","2479.3043341164375","2503.657697004746","2455.7394830108706","2381.742736002194","2533.8798884691","2358.7737549250155","2309.707739551687","2328.9842813461014","2245.240797855819","2225.3015147351935","2375.8263428734717","2640.837655340096","2628.071928608689","2512.0935558583424","2523.6333798167448","2621.9544287634217","2535.3762357130813","2544.460335476048","2460.8822684844577","2620.3512756146906","2697.166491381306","2829.4104367651644","2832.5724618518984","2759.7228505378384","2764.2149593292106","2790.6187137210195","2567.0612863207766","3233.208729027477"
"3.2. Agricultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1. Lavoura Temporária","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.1. Soja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.2. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.3. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.4. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.5. Outras Lavouras Temporárias","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
