"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","41985.856971013745","42017.18037483761","42013.54441785346","41995.661126388884","41998.891783173436","42000.588218304874","41958.844251707254","41871.056485522495","41514.1168403153","41536.88130583748","41900.380447339856","41871.832284447235","41894.024932272165","41862.8917819707","41810.96261664847","41683.68961088077","41658.07548896113","41718.322001798544","41825.2833420462","41772.745649578515","41646.223436154905","41669.3949536999","41808.05828954126","41880.43673479063","41882.92818235674","41881.56308666573","41920.61977803863","41908.42525108012","41900.89035210551","41890.73535249692","41795.271169669235","40778.479154206674","40747.75170009334","40701.87282022612","40823.359863651305","40943.45751982765","40965.56130456932","41020.17465406422"
"1.1. Formação Florestal","41681.76650808521","41712.840212643074","41713.6426427285","41694.85660057135","41711.05394232328","41705.81973448049","41667.023031052435","41581.139872303786","41233.660208995076","41252.3830264266","41609.788679268255","41589.953439693294","41612.550212456204","41585.359677342225","41520.653452543746","41385.133906327355","41359.07999457579","41418.2268777943","41522.42256155519","41470.15806749897","41349.38474650034","41372.677127912524","41506.23906383524","41571.81288879277","41576.35428555616","41580.76764230409","41614.175738668106","41604.41990603113","41588.07226982232","41578.80365875513","41486.59168845825","40479.67218531275","40448.50590334479","40405.981886859925","40530.036545328454","40647.812001241036","40669.347666010726","40703.55443031037"
"1.2. Formação Savânica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","304.0904629285379","304.3401621945363","299.90177512496547","300.8045258175354","287.83784085015947","294.76848382439044","291.82122065482275","289.91661321870606","280.4566313202256","284.4982794108783","290.5917680715996","281.8788447539438","281.4747198159602","277.5321046284746","290.30916410472105","298.55570455341353","298.9954943853395","300.09512400424086","302.8607804910093","302.587582079551","296.8386896545644","296.717825787377","301.8192257060204","308.62384599786407","306.5738968005842","300.79544436164304","306.4440393705232","304.00534504899457","312.8180822831928","311.9316937417894","308.67948121098465","298.8069688939228","299.2457967485489","295.8909333661958","293.3233183228489","295.6455185866163","296.2136385585879","316.62022375385266"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","85.72441385615325","46.898902970473344","55.09027775668273","40.31490940671431","52.72998234872857","46.402368829920135","41.268414151778856","46.255021411994484","41.94272261544021","43.15576285785748","42.78450358424763","44.75404352345185","45.663421824879364","77.45850328261436","44.9830689135024","50.62491439431578","51.40618347811825","48.15987445621266","50.607065217356926","51.001746313261094","55.30035753248026","52.033355031379216","49.607852792466076","51.889637272350804","51.15216672686405","54.51292791611612","49.946781270704065","55.72944789507692","51.14596030089131","50.193110319441175","52.2031824811389","56.53058254746378","56.025798769220046","60.495769212574636","67.99409038291782","71.59493951159908","82.91752154016831","63.53240118164058"
"2.1. Campo Alagado e Área Pantanosa","81.33347382970469","44.649925598910464","52.84130042784446","38.00710273475793","50.58678270273248","44.06409497398225","38.48363364300894","42.59723487646963","40.8879191138174","41.98153636929379","41.875028184120296","43.79448958283068","45.11114790790632","76.72763592692061","43.44851643817975","48.554551915331025","48.711764380624764","44.84034918196136","47.822272129241306","48.42710237855196","52.515618991483784","50.681951375852066","49.371472081370605","51.53279170355102","50.77955082150923","52.8008293935738","48.41328220494886","52.76715153928265","44.551481353113466","44.45068566001735","43.871035659849845","47.90527522898952","49.5435810686657","53.74849539691996","61.106809695733766","62.81661872084674","71.81108307964249","52.06355988733623"
"2.2. Formação Campestre","4.390940026448567","2.248977371562883","2.248977328838274","2.30780667195638","2.143199645996094","2.3382738559378833","2.784780508769914","3.657786535524855","1.054803501622817","1.1742264885636873","0.9094754001273362","0.9595539406211704","0.5522739169730393","0.7308673556937424","1.5345524753226485","2.070362478984758","2.6944190974934896","3.3195252742513026","2.7847930881156175","2.5746439347091377","2.7847385409964773","1.3514036555271522","0.23638071109547334","0.3568455687997856","0.37261590535481776","1.7120985225423178","1.5334990657552081","2.962296355794271","6.594478947777842","5.742424659423828","8.332146821289058","8.625307318474265","6.482217700554344","6.7472738156546805","6.887280687184052","8.778320790752336","11.106438460525816","11.468841294304344"
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Agropecuária","104.71067881582192","103.50530894746643","97.82357176099599","119.88025580030248","99.69990482768952","109.62030334206977","149.4424934598081","239.36466818797396","596.9891548665845","577.1297041683916","214.4463085865455","234.8597229680081","216.9214614113003","222.99007122022437","315.63429216610166","464.0407265281283","492.67140246976913","425.9977190725522","317.0552611351103","371.2954967450066","494.146564756028","470.61092329491584","330.7791085831698","270.90264845116644","266.8693481972121","256.33872565767115","227.5589422609809","238.03376761139486","265.0476401716641","275.86904983611413","365.55416010296955","1384.6820606233136","1417.019822483267","1460.3208122569577","1332.7365680149437","1207.8099249773604","1177.8255168309647","1159.2739540105345"
"3.1. Pastagem","104.71067881582192","103.50530894746643","97.82357176099599","119.88025580030248","99.69990482768952","109.62030334206977","149.4424934598081","239.36466818797396","596.9891548665845","577.1297041683916","214.4463085865455","234.8597229680081","216.9214614113003","222.99007122022437","315.63429216610166","464.0407265281283","492.67140246976913","425.9977190725522","317.0552611351103","371.2954967450066","494.146564756028","470.61092329491584","330.7791085831698","270.90264845116644","266.8693481972121","255.6243810226614","226.84459762597115","238.03376761139486","265.0476401716641","275.86904983611413","365.55416010296955","1384.6820606233136","1417.019822483267","1460.3208122569577","1332.7365680149437","1207.8099249773604","1176.4860157994706","1158.0237530339718"
"3.2. Agricultura","","","","","","","","","","","","","","","","","","","","","","","","","","0.7143446350097655","0.7143446350097655","","","","","","","","","","1.3395010314941402","1.2502009765624997"
"3.2.1. Lavoura Temporária","","","","","","","","","","","","","","","","","","","","","","","","","","0.7143446350097655","0.7143446350097655","","","","","","","","","","1.3395010314941402","1.2502009765624997"
"3.2.1.1. Soja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.2. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.3. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.4. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.5. Outras Lavouras Temporárias","","","","","","","","","","","","","","","","","","","","","","","","","","0.7143446350097655","0.7143446350097655","","","","","","","","","","1.3395010314941402","1.2502009765624997"
"3.2.2. Lavoura Perene","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.1. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.2. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.3. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.4. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.3. Silvicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.4. Mosaico de Usos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Área não Vegetada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.1. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.2. Área Urbanizada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.3. Mineração","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.4. Outras Áreas não Vegetadas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. Corpo D`água","83.50090522547107","92.20838215549844","93.33470153990513","103.93667731514743","108.471298561246","103.18207843426886","110.2378095922854","103.11679378856","106.74425111366436","102.62619604729161","102.1817094003717","108.34691797236447","103.18315340277002","96.45261243767251","88.2129911831007","61.43771710791492","57.63989400213503","67.31337358386469","66.84730051243203","64.75007627431833","64.12261046767289","67.75373688498105","71.34771799438478","56.56394839709712","58.843271630404594","67.37822867163565","61.66746734080595","57.60450232450596","42.709016333007824","42.99545625856888","46.76445665766698","40.10117153344248","38.99564756510419","37.10356721550438","35.702446862003114","36.93058459455904","33.488625970722275","16.811959654756425"
"5.1. Rio, Lago e Oceano","83.50090522547107","92.20838215549844","93.33470153990513","103.93667731514743","108.471298561246","103.18207843426886","110.2378095922854","103.11679378856","106.74425111366436","102.62619604729161","102.1817094003717","108.34691797236447","103.18315340277002","96.45261243767251","88.2129911831007","61.43771710791492","57.63989400213503","67.31337358386469","66.84730051243203","64.75007627431833","64.12261046767289","67.75373688498105","71.34771799438478","56.56394839709712","58.843271630404594","67.37822867163565","61.66746734080595","57.60450232450596","42.709016333007824","42.99545625856888","46.76445665766698","40.10117153344248","38.99564756510419","37.10356721550438","35.702446862003114","36.93058459455904","33.488625970722275","16.811959654756425"
"5.2. Aquicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Não observado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
