"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","45151.75847554936","45171.253781706626","45169.935966461424","45167.59990036295","45173.55362118969","45169.043921186865","45150.762119355786","45141.86451839864","45152.80171922499","45151.16939392653","45146.50045720537","45141.86501563282","45135.08593413889","45131.763951669476","45117.00909032824","45088.42661358524","45072.92774172677","45067.41626814676","45078.174968912965","45059.52206469285","45053.49627785812","45012.93790130834","44993.785734687204","44790.27107783039","44799.91867960542","44883.68518273982","44839.915198046525","44881.68478563548","44953.15729376848","44963.52268021899","45056.692384047325","45058.49142448209","45029.25203535394","45026.67538347285","45019.37700306203","45029.026475350955","45034.49754601327","45039.69535407819"
"1.1. Formação Florestal","44317.40559863521","44310.059788367915","44281.2899963314","44262.34459082252","44257.37603009767","44153.90864936365","44148.207864978925","44124.890046203174","44124.15579601823","44000.4157629439","44024.33579760335","44045.83612680106","44047.801363257575","44097.76406423964","44144.983942061","44157.04599649475","44145.30351140997","44141.18967070349","44146.52574849295","44018.247419614636","43996.55913708899","43955.47475425258","43943.05373509239","43695.209100122775","43650.739467052845","43788.18382391648","43718.62504638261","43654.05004640407","43479.77529026182","43500.111026834405","43358.27649556553","43179.81764232354","43114.99041140462","43085.25689921048","43079.270004450285","43294.78316359836","43347.63903917401","43656.31024433323"
"1.2. Formação Savânica","834.3528769141502","861.1939933387134","888.6459701300298","905.2553095404294","916.1775910920157","1015.1352718232166","1002.5542543768587","1016.9744721954607","1028.6459232067543","1150.7536309826341","1122.1646596020223","1096.0288888317602","1087.2845708813213","1033.99988742983","972.0251482672365","931.3806170904861","927.6242303168043","926.2265974432697","931.6492204200129","1041.2746450782106","1056.9371407691315","1057.4631470557545","1050.7319995948149","1095.06197770761","1149.1792125525767","1095.5013588233387","1121.290151663914","1227.6347392314121","1473.3820035066592","1463.4116533845865","1698.4158884817962","1878.6737821585493","1914.261623949314","1941.4184842623722","1940.1069986117416","1734.243311752592","1686.8585068392545","1383.3851097449594"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","2.0984513305664065","0.2623103759765625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6120700195312501","0.7869472106933595","0.7869472106933595","0.6995087463378907","0.4371930114746094","1.4864566833496093","4.371955249023438","7.257469635009768"
"2.1. Campo Alagado e Área Pantanosa","2.0984513305664065","0.2623103759765625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6120700195312501","0.7869472106933595","0.7869472106933595","0.6995087463378907","0.4371930114746094","1.1367036804199218","3.3226885620117192","2.9729386840820324"
"2.2. Formação Campestre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3497530029296875","1.0492666870117189","4.284530950927736"
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
