"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","81688.59869912465","81979.139434262","82070.19119530587","82092.34432756125","82126.04852822053","82114.94564467511","82110.81656955752","82098.13050240619","82084.8117415154","82080.33922087871","82067.0975682489","82076.32489736899","82068.73986641961","82070.93079461559","82022.10890724721","82010.34091423804","81992.42764399048","81960.42473571385","81981.3639029203","81941.16346908815","81902.14525702133","81789.61898122344","81645.00990137047","81575.68362306518","81596.29590882386","81650.61410131888","81679.88563711003","81668.95242980093","81623.81143204996","81356.69121733725","81050.51524395852","80160.68195865395","79526.31320122824","79372.7290751731","79238.11231619667","78413.39120602293","77920.2631079508","76956.13856105156"
"1.1. Formação Florestal","13664.759464427065","13702.435136510787","13637.427771340703","13592.20044613657","13458.45144403857","13481.741142456092","13477.743278021797","13556.764171520259","13471.437338589629","13479.970653009997","13483.012463910489","13451.648482858303","13363.691562148764","13317.587679653127","13217.621819984084","13167.655449556718","13196.607112549162","13135.749072114584","13243.44982725662","13316.504227894591","13296.981201020031","13295.135336221821","13205.090969731447","13196.85637608925","13233.473922758401","13246.124477834388","13195.77721161014","13121.12579509028","13208.990211327868","13224.89285672724","13282.711452469972","13317.910840518476","13329.628572374728","13274.78569024164","13276.690117531089","13266.637949002634","13358.052155855255","13522.628433937467"
"1.2. Formação Savânica","68023.83923469759","68276.70429775122","68432.76342396517","68500.14388142468","68667.59708418197","68633.20450221901","68633.07329153572","68541.36633088592","68613.37440292577","68600.36856786872","68584.0851043384","68624.67641451069","68705.04830427085","68753.34311496247","68804.48708726313","68842.68546468132","68795.82053144132","68824.67566359926","68737.91407566369","68624.65924119356","68605.1640560013","68494.48364500162","68439.91893163903","68378.82724697592","68362.82198606545","68404.4896234845","68484.10842549989","68547.82663471065","68414.8212207221","68131.79836061002","67767.80379148855","66842.77111813547","66196.68462885352","66097.94338493147","65961.42219866558","65146.753257020304","64562.21095209555","63433.510127114096"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","17128.230188216086","17082.189083144793","17061.53126567943","17047.992820372077","17021.141046350716","17035.880892104455","17042.124719528","17066.80904336392","17080.17016103497","17073.73715042235","17086.29577397226","17071.479942743274","17078.09857017782","17087.029676832397","17103.372803672282","17101.580018349934","17115.759457872296","17137.377364135486","17114.433738294847","17113.106283418143","17110.805527135584","17130.91559798511","17163.15381311563","17136.544189016935","17078.32308033213","17047.629372624822","17020.78424539532","17048.562355259626","17082.52873284498","17094.111550723264","17109.67443066359","17096.159310022478","17061.927093637234","17041.131495665846","17035.765121073346","17019.92875898344","17019.087825634328","16837.43378639594"
"2.1. Campo Alagado e Área Pantanosa","234.6353658214856","205.31950340664764","191.97594751029249","188.4234873947326","182.41575377003414","184.5489837443993","182.68248245655755","180.13101095813244","179.15276807483167","177.5526727562282","180.5746626365994","184.30753067248787","190.5295618980738","192.21959780505625","200.39600198596418","206.43939810412823","204.21746888659897","207.6833510399194","202.97289122546616","200.1299256737083","202.97323132556383","204.30694886096416","199.94820186389381","198.79234656604226","206.79212458728244","209.19183379138423","210.67803204762168","219.91815529794732","228.67979058883375","235.8781080265779","242.25672889550296","235.11980508348663","235.74236166917987","234.58617253343766","236.89629666063507","234.81611200523224","237.15390473290543","258.621580318795"
"2.2. Formação Campestre","16893.5948223946","16876.869579738144","16869.55531816914","16859.569332977346","16838.725292580682","16851.331908360055","16859.442237071442","16886.678032405787","16901.017392960137","16896.18447766612","16905.72111133566","16887.172412070784","16887.569008279745","16894.810079027342","16902.97680168632","16895.140620245806","16911.541988985697","16929.694013095566","16911.460847069382","16912.976357744436","16907.83229581002","16926.608649124144","16963.205611251735","16937.751842450893","16871.53095574485","16838.437538833437","16810.1062133477","16828.64419996168","16853.848942256147","16858.233442696688","16867.417701768085","16861.03950493899","16826.184731968053","16806.54532313241","16798.86882441271","16785.112646978207","16781.93392090142","16578.812206077146"
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
