data,temp_max_diaria,nome,codigo_estacao,latitude,longitude,altitude,situacao,data_inicial,data_final,periodicidade_da_medicao
2024-02-15,39.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-16,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-17,37.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-18,39.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-19,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-20,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-21,39.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-22,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-23,40.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-24,40.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-25,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-26,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-27,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-28,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-02-29,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-01,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-02,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-03,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-04,40.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-05,41.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-06,39.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-07,39.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-08,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-09,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-10,40.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-11,40.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-12,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-13,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-14,40.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-15,40.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-16,36.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-17,40.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-18,39.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-19,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-20,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-21,40.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-22,40.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
